gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000112234.9,FBXL4,432,458,569,558,575,576.4984955182716,-0.3238759106499249,0.0997279702564145,2.5631117932998734e-4,9.438805015943226e-4,Down
ENSG00000183576.13,SETD3,2697,2621,2279,2259,2231,2419.9257978712294,0.20205231017435346,0.05795320293825518,2.5637411487140397e-4,9.438805015943226e-4,NS
ENSG00000164342.14,TLR3,63,45,17.999,24,21,36.243156602556446,0.9315417339958084,0.4291728127711652,2.5711841680234603e-4,9.463079338822629e-4,Up
ENSG00000187630.18,DHRS4L2,1031.222,972.41,816.947,817.935,692.94,819.8984292998186,0.3053098120825279,0.09296446195161212,2.5808295285526965e-4,9.495440521800919e-4,Up
ENSG00000141854.10,MISP3,14,14,39,40,34.999,40.478804371652416,-1.0067942539607218,0.4790999329110624,2.5830713668831945e-4,9.500550136386439e-4,Down
ENSG00000165688.14,PMPCA,2808,2536,2319,2195.001,2191,1978.6186033277636,0.21795656073314926,0.06307005178802427,2.5878234699835213e-4,9.514886096139478e-4,NS
ENSG00000150779.12,TIMM8B,1429,1470,1207.999,1186.999,1072,1052.3047130803309,0.2753313300252404,0.08232805199861327,2.591334220222543e-4,9.524649904494542e-4,Up
ENSG00000103245.14,CIAO3,406,415.998,521,509.999,555.001,522.5631315399374,-0.3333699385442985,0.10341103771201489,2.599306717149595e-4,9.550801355623569e-4,Down
ENSG00000267060.7,PTGES3L,40.505,37.747,68.479,84.922,76.355,76.55749549532369,-0.7106205246082214,0.2899681626433744,2.607867791767748e-4,9.579097492387009e-4,Down
ENSG00000086589.12,RBM22,1597,1472.001,1275.001,1267.001,1301.999,1419.501919295262,0.22084011093694053,0.06405358393919612,2.614503838665753e-4,9.600306380224362e-4,NS
ENSG00000161048.12,NAPEPLD,591.999,591.001,420.999,440.001,478,448.1773463333739,0.3360324783605196,0.10452385432495352,2.628928888895917e-4,9.650092628752085e-4,Up
ENSG00000133243.10,BTBD2,2117.999,1984,2320,2327,2340.928,2465.9866184555494,-0.19295521292319137,0.05522349430084487,2.639193309486591e-4,9.682038673619435e-4,NS
ENSG00000180822.12,PSMG4,502.999,462.001,643.999,597.999,601,474.3438135814876,-0.32437184498324717,0.1001713515924888,2.6393705138824284e-4,9.682038673619435e-4,Down
ENSG00000113504.21,SLC12A7,1165,1043,1234.999,1256,1429,1346.6278414468259,-0.24212117356685384,0.07119876946517323,2.6819832819331593e-4,9.833855294779873e-4,NS
ENSG00000204310.13,AGPAT1,1060.999,1005,1208.001,1266,1191,1208.3792702436747,-0.24150294596619576,0.07099318545122787,2.6825224374195253e-4,9.833855294779873e-4,NS
ENSG00000170365.10,SMAD1,549.999,520.001,637.999,657.999,701,655.2912648884721,-0.2982309896572341,0.09074369122450199,2.6951141590089684e-4,9.876764195091438e-4,Down
ENSG00000100503.27,NIN,2697,2567.001,2877.999,3113,3402,2731.0991954692104,-0.24688973176433476,0.07283683441330616,2.699095885203728e-4,9.888102261024316e-4,NS
