gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000000457.14,SCYL3,395,306.999,327.001,207,240.999,205,259.95487724229,0.4208451840291972,0.11960455463815664,2.0250642356917862e-4,4.195933096353381e-4,Up
ENSG00000105483.18,CARD8,1356.997,967.001,989.408,702.999,771.978,859.982,931.3572740799079,0.2867294424636318,0.07920691569348404,2.02812846999583e-4,4.201500515316882e-4,Up
ENSG00000149115.14,TNKS1BP1,1610,1321.999,1456.999,1489,1408.999,1630.999,1383.2969705351807,-0.23622126824982587,0.06471182619580841,2.034289825838037e-4,4.213480712359721e-4,NS
ENSG00000162607.13,USP1,4156,3456,3313,3464,3642,3626,3582.895426113422,-0.17221788611613417,0.04678811481509351,2.0379441086186486e-4,4.2202646964830586e-4,NS
ENSG00000172197.11,MBOAT1,79,68,85,33,25,37,41.410690716824924,0.8599802914177229,0.29294893752508216,2.043699133503998e-4,4.231395659013576e-4,Up
ENSG00000099995.19,SF3A1,5505.001,4483,4417.999,3618,3572.999,3966,4124.9075361000105,0.16566420676711932,0.04499449370775175,2.049962581334609e-4,4.242954259366124e-4,NS
ENSG00000104218.16,CSPP1,513.999,366.999,379.001,449.998,445.999,504.001,474.5519668887858,-0.3391696675874269,0.0947401849847163,2.0500437164091867e-4,4.242954259366124e-4,Down
ENSG00000167984.18,NLRC3,1494,1122,1247,918,933,980,1058.90663490361,0.23898938582641838,0.06553849322997175,2.0520913005715968e-4,4.246402975560363e-4,NS
ENSG00000172687.14,ZNF738,695.999,600.061,641.176,428.085,449.046,465.142,497.1023713277877,0.3175712895429231,0.08832576758356897,2.0529799729015973e-4,4.2474527137665035e-4,Up
ENSG00000167699.14,GLOD4,1708.001,1449,1625.002,1658.999,1723.001,1562.001,1697.5602478464225,-0.23825190302713098,0.06533703262679404,2.0557763887611916e-4,4.252448298966083e-4,NS
ENSG00000101574.15,METTL4,475,350,366,264,263,248,306.7348795736888,0.38820927923160603,0.10963684946528565,2.058844477342344e-4,4.258003889352216e-4,Up
ENSG00000167930.17,FAM234A,899,748.001,819.999,561.001,561,619.001,615.2788848195336,0.29314045813855877,0.08118977850065645,2.068617497791102e-4,4.2774216622538995e-4,Up
ENSG00000087460.29,GNAS,27031.92,22402.632,22933.999,23021,23030.005,22829.001,22937.848623186754,-0.12717625619750983,0.034448432536751124,2.0739898164574282e-4,4.287734283624722e-4,NS
ENSG00000079974.19,RABL2B,484.111,404.573,422.88,493.375,474.741,487.799,448.16560291004754,-0.33201479564581293,0.09277789740723182,2.1032979614362955e-4,4.3475184477572424e-4,Down
ENSG00000196453.8,ZNF777,689,550,539,413.264,407,406,483.56455810362144,0.31841508506259036,0.08873628448097484,2.1048672962709585e-4,4.3499549227258606e-4,Up
ENSG00000006432.16,MAP3K9,499.999,354.001,347.999,231.999,249,281,273.6828420584806,0.4178114096886446,0.11904559273642515,2.1141909518260964e-4,4.368412732928986e-4,Up
ENSG00000173334.4,TRIB1,10,7,18,25,33,30,29.512170003826796,-1.1110652530226413,0.4352986569174015,2.1176868614667646e-4,4.374824443731285e-4,Down
ENSG00000067177.15,PHKA1,624.772,492,553.837,579,602.887,612.929,644.3822691374062,-0.2912111797571934,0.08082006775288283,2.13866527158851e-4,4.4173433104008233e-4,Down
ENSG00000056972.21,TRAF3IP2,492.001,452.086,435.001,535.001,513.001,494,437.4034802687182,-0.3395239688123323,0.09516452277762281,2.14580067081268e-4,4.431259423482443e-4,Down
ENSG00000171100.16,MTM1,766.001,577,573,429.999,449.999,443,514.0326817401077,0.31445714040959527,0.08772847483732271,2.1597932418940935e-4,4.459328389872918e-4,Up
ENSG00000109536.13,FRG1,1225.456,1055.217,1129.612,817.984,824.851,831.048,928.0635244129845,0.2575039548069672,0.07112721336725675,2.1771728630650775e-4,4.494378901938048e-4,NS
ENSG00000106804.10,C5,229,193,190,238,246.999,262,210.1092950450261,-0.4475493997608325,0.12874879854567928,2.1810105068536127e-4,4.5014666447050933e-4,Down
ENSG00000141098.13,GFOD2,281.001,244.999,256.001,316,294,305,297.18550008105257,-0.3960705884362955,0.11258476636512826,2.1913313902861432e-4,4.5219302748965686e-4,Down
