task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	04/2e7342	3844208	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_AL_6_05_22_run0_raw)	COMPLETED	0	2026-07-19 12:29:24.717	3m 20s	3m 21s	198.4%	7.9 GB	40.6 GB	3.2 GB	3.9 MB
11	64/ee6b1c	3848642	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_AL_7_06_12_run0_raw)	COMPLETED	0	2026-07-19 12:30:41.972	2m 18s	2m 18s	196.3%	8.4 GB	40.8 GB	2.4 GB	4 MB
6	92/67696a	3854552	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_AL_6_05_12_run0)	COMPLETED	0	2026-07-19 12:32:45.099	1m 56s	1m 56s	803.8%	1.4 GB	2 GB	3 GB	2.7 GB
21	66/cc3a88	3851892	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_IF_7_06_12_run0_raw)	COMPLETED	0	2026-07-19 12:31:51.714	3m	3m	198.2%	7 GB	40.8 GB	2.9 GB	4 MB
2	32/7c237f	3855981	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_AL_4_02_25_run0)	COMPLETED	0	2026-07-19 12:33:00.339	2m 12s	2m 11s	748.2%	1.3 GB	1.9 GB	3 GB	2.6 GB
18	d8/0d1cee	3861429	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_IF_6_05_22_run0_raw)	COMPLETED	0	2026-07-19 12:34:41.455	2m 58s	2m 57s	197.9%	8.3 GB	40.9 GB	3 GB	4 MB
3	53/f45c7f	3862502	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_AL_4_02_25_run0_raw)	COMPLETED	0	2026-07-19 12:34:51.868	2m 47s	2m 46s	200.4%	7.7 GB	40.6 GB	2.9 GB	4 MB
13	71/dac3f2	3863934	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_IF_4_02_25_run0_raw)	COMPLETED	0	2026-07-19 12:35:12.085	2m 34s	2m 34s	197.6%	8 GB	40.4 GB	2.6 GB	4 MB
15	bd/c59279	3870041	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_IF_4_03_11_run0)	COMPLETED	0	2026-07-19 12:37:39.004	1m 28s	1m 27s	775.0%	1.3 GB	1.9 GB	2.1 GB	1.8 GB
4	ad/02d451	3871442	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_AL_4_03_11_run0)	COMPLETED	0	2026-07-19 12:37:46.584	2m 3s	2m 3s	760.5%	1.3 GB	2 GB	2.9 GB	2.5 GB
5	eb/e5f20c	3870066	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (HFD_AL_4_03_11_run0_raw)	COMPLETED	0	2026-07-19 12:37:39.031	3m 7s	3m 6s	197.6%	7.9 GB	41.1 GB	2.8 GB	4 MB
12	68/21a53d	3876291	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTP (HFD_IF_4_02_25_run0)	COMPLETED	0	2026-07-19 12:39:06.716	1m 55s	1m 55s	753.7%	1.3 GB	1.9 GB	2.6 GB	2.3 GB
22	15/5cf92a	3878991	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_HOST_REMOVAL_BUILD (GRCm39.primary_assembly.genome.fa)	COMPLETED	0	2026-07-19 12:39:49.684	28m 54s	28m 53s	666.1%	5 GB	9.8 GB	30.1 GB	23.3 GB
