gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000082823.4	Gm15828	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082824.2	Gm14716	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082825.2	Gm15741	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082826.2	Mif-ps3	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000082827.4	Gm5397	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082828.2	Gm16106	0	3	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082829.2	Gm15780	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082831.2	Gm12591	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082832.2	Gm14786	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082833.2	Gm12982	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082835.2	Gm13118	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082836.2	Gm13612	0	1	6	2	0	0	0	2	1	1.002	0	1
ENSMUSG00000082837.2	Gm15373	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000082838.2	Gm14519	2.389	2.358	0	2.407	0	0	0	7.675	2.374	0	1.122	1.216
ENSMUSG00000082839.2	Gm14588	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082840.2	Gm16421	2.007	1.005	1.005	0	2.003	0	0	0	1	0	0	1.008
ENSMUSG00000082841.2	Gm12994	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082842.2	Gm14748	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082843.4	4930448K20Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082844.2	Gm13537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082845.2	Gm13879	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082846.2	Gm13484	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082847.2	Gm5759	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082848.2	Gm16066	3	1	2	2	3	2	3	1	1	1	0	0
ENSMUSG00000082849.2	Gm14053	0	1	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000082850.2	Gm14299	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082851.2	Btf3-ps8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082852.3	Gm12021	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082853.2	Gm7134	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082855.2	Gm14537	3	9	1	1	6	1	1	0	1	5	7	3
ENSMUSG00000082856.2	Gm15106	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082857.2	Gm12293	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082858.2	Gm11746	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082859.2	Defa-ps9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082860.2	Gm13204	1	4	0	0	2	5	2	0	1	4	3	2
ENSMUSG00000082861.4	Gm11362	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082862.2	Gm13806	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082863.2	H2al1r-ps	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082864.2	Gm13358	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082865.2	Gm14745	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000082867.2	Gm15730	0	0	0	0	1	1	0	0	1	0	1	0.994
ENSMUSG00000082868.2	Mup-ps5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082869.2	Vmn1r-ps93	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082870.2	Gm12165	0	1	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000082871.3	Gm13263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082872.2	Gm15773	2.002	3.003	2.001	1	1.001	3	2.002	4.037	1.001	3	0	1
ENSMUSG00000082873.2	Gm15367	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082874.5	Rpl15-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082875.2	Gm12598	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082876.2	Gm11889	6.285	2.151	5.389	2.073	3.129	4.148	5.165	6.203	7.403	2.086	3.126	3.16
ENSMUSG00000082877.2	Gm13009	0	0.953	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082878.2	Gm12583	1	2.036	3.002	2.001	1.001	1	0	2	1	1	1	0
