gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
CLYBL	CLYBL	3.212294	3.997706	2.593544	2.592857	2.727637	2.165959	2.133506	2.850962
CMAS	CMAS	50.839942	51.390808	50.163786	48.216	50.379106	50.039523	49.409858	52.703662
CMBL	CMBL	41.461377	39.196371	43.606994	35.221434	42.275851	41.707566	40.265943	41.13158
CMC1	CMC1	7.429177	4.371009	5.122596	5.238548	5.350061	4.180772	4.163663	4.927803
CMC2	CMC2	106.319908	81.569463	86.771702	88.350882	96.950417	83.830194	103.205973	94.447666
CMIP	CMIP	39.742466	40.809521	39.317715	38.59046	40.13156	41.401587	38.569746	41.098807
CMKLR1	CMKLR1	0.020149	0	0.053288	0	0.019271	0	0.023958	0.078218
CMKLR2	CMKLR2	0.022572	0	0	0.01782	0	0	0	0
CMPK1	CMPK1	33.548683	35.423828	36.068074	35.345579	35.907858	34.052994	34.861071	34.152303
CMPK2	CMPK2	0.031702	0.043016	0.041779	0.037316	0.050989	0.073097	0.028183	0.019709
CMSS1	CMSS1	46.691416	45.12866	44.127964	38.701512	50.124391	43.843454	46.09983	42.771731
CMTM3	CMTM3	4.544248	4.965692	4.880973	4.842747	4.685573	4.576796	5.013788	3.987379
CMTM4	CMTM4	27.61738	27.494151	25.462227	25.392022	27.678038	26.72783	25.86508	28.723815
CMTM5	CMTM5	0	0.034795	0	0	0	0	0	0
CMTM6	CMTM6	58.826958	63.606517	59.769806	57.494843	60.412737	62.997803	61.102853	65.640825
CMTM7	CMTM7	0.831581	0.662574	0.739294	0.456904	0.878683	1.006785	0.805742	0.620694
CMTM8	CMTM8	0.647117	0.984922	0.828757	0.204114	1.164172	1.269841	0.138489	0.223838
CMTR1	CMTR1	18.55263	19.767868	19.066763	17.819774	19.296125	21.170352	17.223935	19.305148
CMTR2	CMTR2	7.596967	8.002365	7.026064	6.536304	6.805675	7.280862	7.495284	7.919242
CMYA5	CMYA5	2.170371	2.472708	2.379175	2.075045	1.69532	2.297856	2.557794	2.494695
CNBD1	CNBD1	0	0	0	0	0	0.039782	0	0
CNBD2	CNBD2	0	0	0	0	0	0.047137	0	0
CNBP	CNBP	267.166356	279.898673	274.932665	267.733964	281.409787	296.173108	279.078382	289.955477
CNDP1	CNDP1	0.087447	0.100139	0.145556	0.161563	0.147386	0.049547	0.104701	0.048836
CNDP2	CNDP2	59.348125	59.783867	59.247207	53.799496	58.735849	58.475119	58.408381	62.915398
CNEP1R1	CNEP1R1	98.605508	98.147262	98.645807	96.819598	99.513743	104.89508	99.958194	102.122983
CNGA1	CNGA1	1.137379	1.127835	1.124036	0.825425	1.142136	1.603464	0.769601	1.032931
CNGA2	CNGA2	0.004028	0	0	0	0	0	0	0
CNGA3	CNGA3	0	0	0	0	0	0	0	0
CNGA4	CNGA4	0.942774	0.984133	1.017048	1.00657	0.875901	1.019327	1.172151	0.948721
CNGB3	CNGB3	0	0	0	0	0	0	0	0
CNIH1	CNIH1	254.669597	295.793278	288.206523	279.018749	317.68686	330.829696	312.83615	303.183688
CNIH2	CNIH2	0.259423	0.477661	0.491988	0.207319	0.190679	0.456797	0.567752	0.531078
CNIH3	CNIH3	0.241485	0.39879	0.143436	0.10493	0.28729	0.253753	0.148798	0.416486
CNIH4	CNIH4	321.626855	288.628406	310.552012	317.826492	332.572114	327.098411	358.285167	320.030497
CNKSR1	CNKSR1	0	0	0	0	0	0	0	0
CNKSR2	CNKSR2	0.00688	0	0	0	0	0	0	0.004076
CNKSR3	CNKSR3	33.056493	35.459673	34.467378	32.781013	33.08943	31.497324	35.246047	33.595776
CNMD	CNMD	0	0	0	0	0	0.374582	0	0
CNN1	CNN1	0.504319	0.888483	0.623943	0.41714	0.681596	0.548902	0.525869	0.409846
CNN2	CNN2	0.016938	0.164965	0.068055	0.026869	0.147685	0.087675	0	0.028555
