gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
ADNP	ADNP	8589	6480	6318	5119	5707	5280	4552	5417
ADNP2	ADNP2	2744	2114	2035.968	1695	1744	1668	1554	1680
ADO	ADO	2403	1567	1725	1343	1583	1317	1157	1309
ADORA1	ADORA1	70	81	62	41	75	43	49	53
ADORA2A	ADORA2A	3	2	2	0	2	0	4	0
ADORA2B	ADORA2B	448	367	385	332	363	269	305	296
ADORA3	ADORA3	0	0	0	0	0	0	0	0
ADPGK	ADPGK	3787	3093.999	3021	2632.999	2988	2555	2361.999	2508
ADPRH	ADPRH	3142	2056	2033	1794	2019	1739	1617	1869
ADPRM	ADPRM	324	207	236.001	183.001	203	172	159.001	165
ADPRS	ADPRS	1243	949	1069	887	896	774	672	781
ADRA1A	ADRA1A	0	0	0	0	4	0	0	0
ADRA1B	ADRA1B	29	8	5	10	7	9	10	14
ADRA1D	ADRA1D	5	3	5	8	1	4	3	2
ADRA2A	ADRA2A	24	12	14	11	10	11	5	19
ADRA2B	ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	ADRA2C	5618	3973	4133	3675	4006	3480	3144	3399
ADRB1	ADRB1	41	41	24	33	46	22	26	43
ADRB2	ADRB2	34	28	34	20	30	24	22	24
ADRB3	ADRB3	0	0	0	1	0	0	0	0
ADRM1	ADRM1	6398	4650	4675	3806	4185	3521	3268	3617
ADSL	ADSL	1815	1384	1410	1149	1251	1008	879	1029
ADSS1	ADSS1	65	29	50	39	43	33	30	31
ADSS2	ADSS2	8508	6344	5940	4843	5511	4808	4574	5169
ADTRP	ADTRP	0	0	0	0	0	0	0	0
AEBP1	AEBP1	210	184	169	141	168	187	118	135
AEBP2	AEBP2	2332.999	1726	1554.259	1229.999	1428	1329	1109	1357.871
AEN	AEN	110	106	107	73	87	67	66	84
AFAP1	AFAP1	5053	3960	3835	3080	3513	3171	2862	3468
AFAP1L1	AFAP1L1	244	208	203	144	189	160	176	189
AFAP1L2	AFAP1L2	6268	4442	4717	3787	4417	3853	3559	4004
AFDN	AFDN	12999.001	10019.999	10315	8529.998	9008.999	8313.999	7702	8658
AFF1	AFF1	8147	5916	6102	4691	5719	4701	4353	5146
AFF2	AFF2	235	209.771	180	131	167	184	112	153
AFF3	AFF3	227	201	236	169	176	163	136	166
AFF4	AFF4	8903.999	6941	6547	5396	5953	5226	4915	5787
AFG1L	AFG1L	205	168	176	126	168	97	96	102
AFG2A	AFG2A	706	466	468	390	456	323	323	371
AFG2B	AFG2B	843	582	651	582	563	497	491	464
AFG3L2	AFG3L2	5571	3966	4200	3610	3929	3603	3233	3609
AFM	AFM	0	0	0	0	0	0	0	0
AFMID	AFMID	376	213	243	215	184	165	158	158
AFP	AFP	0	2	0	0	0	0	0	0
AFTPH	AFTPH	4099	2857	2956	2205	2645	2236	2111	2412
AGA	AGA	3263	2611	2753	2295	2358	2264	2110	2243
AGAP1	AGAP1	64	43.001	41	38	53	35	38	36
AGAP2	AGAP2	4	13	4	8	2	3	5	4
AGAP3	AGAP3	1188	987	1052.999	822	851	741	682	724
AGBL1	AGBL1	1	0	2	0	0	0	0	0
AGBL2	AGBL2	1197.999	884	962	811	838	718.001	754.999	687
AGBL3	AGBL3	338	231	254	228	185	202	229	238
AGBL4	AGBL4	11	10	8	5	1	10	4	3
AGBL5	AGBL5	2024	1735.001	1990.999	1597	1561	1464.999	1413	1339.001
AGER	AGER	41	23	29	21	24	26	18	27
AGFG1	AGFG1	3736.999	2636	2759	2275	2377	2122.001	1992.999	2225
AGFG2	AGFG2	1637	1589	1589	1280	1306	1301	1208	1167
AGGF1	AGGF1	1765	1246	1312	1107	1222	1018	940	1039
AGK	AGK	830	543	580	526	576	465	492	511
AGL	AGL	5836.001	4587.001	4517	3587	4030	3611	3406.999	3934
AGMAT	AGMAT	1756	1387	1403	1096	1122	985	941	998
AGMO	AGMO	0	0	0	0	0	0	0	0
AGO2	AGO2	4467	3541	3605	2800	3221	2853	2591	2857
AGPAT1	AGPAT1	2284	1926	2077	1744.001	1787	1598.999	1351	1430
AGPAT2	AGPAT2	29194	22217	22761	20187	23092	19278	17497	19049
AGPAT3	AGPAT3	1576.001	1147	1194	956	1077	938	864	908
AGPAT4	AGPAT4	15765	11846	12249	10336	11242	9929	9356	10011
AGPAT5	AGPAT5	10542	7175	7378	6620	7454	6078	6047	6660
AGPS	AGPS	5171	3516	3422	2787	3186	2703	2663	2953
AGRN	AGRN	17013	13203	14055	11648	11473	10646	10039	10673
AGRP	AGRP	0	0	0	0	0	0	0	0
AGT	AGT	78	43	55	54	62	35	41	46
AGTPBP1	AGTPBP1	437	359	368	292	321	264	265	288
AGTR1	AGTR1	0	0	0	0	0	0	0	0
AGTR2	AGTR2	0	0	1	4	1	2	0	1
AGTRAP	AGTRAP	860	556	711	668	657	610	527	551
AGXT	AGXT	335	227	259	190	234	190	159	194
AGXT2	AGXT2	1	1	0	0	0	0	0	0
AHCTF1	AHCTF1	10189.001	7957	7755	6482.001	7162	6460	5796	6682
AHCY	AHCY	24063.001	18323.001	19102	15295	16967	14767	12645	13777
AHCYL1	AHCYL1	20009	15582	14560	12167	13930	12528	10625	12652
AHCYL2	AHCYL2	4286.999	3427	3097.001	2428	2766	2642	2151	2790
AHDC1	AHDC1	244.001	210.999	227	187	156	161	165	177
AHI1	AHI1	362	284	271	261	190	224	200	237
AHNAK	AHNAK	82117	65249	59454	56751	58504	53011	47770	54344
AHNAK2	AHNAK2	1530	1357	1161	1074	1099	974	893	933
AHR	AHR	1367	1343	1388	1100	1031	1060	893	1070
AHRR	AHRR	9569	7825	7790	6269	6905	6539	5871	6504
AHSA1	AHSA1	18014	13622	13883	11344	12902	10460	9767	10864
AHSA2P	AHSA2P	5783	4130	4769	3879	4019	3425	3576	3485
AHSG	AHSG	0	0	0	1	0	0	0	0
AICDA	AICDA	0	3	0	0	0	0	0	0
AIDA	AIDA	1645	1208	1152.999	915	1119	1023	865	1041
AIF1	AIF1	0	0	0	0	0	0	0	0
AIF1L	AIF1L	1712	1236	1144	1007	1174	985	894	1187
AIFM1	AIFM1	11431	8299	8637	7335	8701	7430	6642	8067
AIFM2	AIFM2	902	826	815	574	631	651	549	615
AIFM3	AIFM3	385	350	380	338	292	261	285	287
AIG1	AIG1	9	6	5	4	3	0	6	4
AIMP1	AIMP1	2082	988	1052	975	1069	788	873	876
AIMP2	AIMP2	5739	3987	4100	3541	3770	3002	2812	3210
AIP	AIP	1025	819	867	749	757	614	614	608
AIPL1	AIPL1	139	108	127	112	71	83	67	69
AIRE	AIRE	10	8	3	4	10	10	2	9
AIRIM	AIRIM	1705	1091	1133	945	1098	927	805	969
AJAP1	AJAP1	0	0	0	0	0	0	0	0
AJM1	AJM1	212	160	172	129	142	124	106	117
AJUBA	AJUBA	6547	5310	5164	4419	4366	4084	3599	3932
AK1	AK1	40	36	28	37	23	22	32	23
AK2	AK2	25517	18161	18598	15632	17055	14835	13611	15217
AK3	AK3	4279	3202	2999	2442	2913	2500	2329	2675
AK4	AK4	346	176	188	168	169	138	123	174
AK5	AK5	0	0	0	0	0	0	0	0
AK6	AK6	2764.726	1820.265	1958.84	1597.118	1768.692	1432.747	1468.494	1541.897
AK7	AK7	169	101	107	90	102	64	95	89
AK8	AK8	37	16	17	13	12	10	10	9
AK9	AK9	40	28	34	46	43	31	39	33
AKAIN1	AKAIN1	1	0	0	0	0	0	0	0
AKAP1	AKAP1	10045	7688	7652	6722	7152	6367	5687	6490
AKAP10	AKAP10	4359	3292	3236	2655.001	3059	2740	2437.001	2860
AKAP11	AKAP11	6631	5102	5153	4308	4758	4180	3949	4567
AKAP12	AKAP12	470	353	360	273	324	296	269	299
AKAP13	AKAP13	6019	4786	4880	3975	4237	3784	3473.001	4250
AKAP14	AKAP14	0	1	0	0	0	0	2	0
AKAP17A	AKAP17A	261	175	174	123	152	100	132	137
