gene_id,gene_name,cDC1_Tumor_1,cDC1_Tumor_2,cDC1_Tumor_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000029313.19,Aff1,5239.001,5735,6058.001,6873,7396.999,6670,7939.131494438479,-0.6131434478308676,0.0493411273259351,1.0219441173813901e-35,3.013606651230227e-35,Down
ENSMUSG00000036985.13,Zdhhc9,732.999,763,965,1101,1236,1120.999,762.140306948335,-0.8073967660783757,0.06515171373064169,1.0729865757371494e-35,3.163313183360638e-35,Down
ENSMUSG00000020380.17,Rad50,2740,3161,3300,1646,1741,1643.001,2820.3752234897606,0.5487450739556669,0.0441459559091348,1.0858350438210806e-35,3.2003705873196784e-35,Up
ENSMUSG00000059689.16,Zfp637,752,804,945.999,294.999,268.999,272,514.965558101784,1.2438454501096465,0.10098398022855326,1.091184040926548e-35,3.215310839609841e-35,Up
ENSMUSG00000020268.15,Lyrm7,187.999,172,207,27,24.999,10,97.41384633574046,2.8290313104133933,0.23453611249760686,1.1338535303475715e-35,3.340184732935137e-35,Up
ENSMUSG00000021669.17,Cert1,2142.095,2471,2648,2883,3077,2949,2669.603297985345,-0.6135026923658997,0.04940898453930756,1.1543587692551562e-35,3.399718324533716e-35,Down
ENSMUSG00000040687.17,Madd,2532.999,2685,2915.001,3584.001,4018.999,3608,4285.311503150781,-0.7754378168595321,0.06257913659596741,1.1670466281315452e-35,3.4362042130344954e-35,Down
ENSMUSG00000025265.15,Fgd1,300,360,366,621,625,636,384.1305982643057,-1.1845890961933447,0.09617396851369399,1.2003428476979138e-35,3.53333425278522e-35,Down
ENSMUSG00000038582.16,Pptc7,2145,2319,2627,1231,1268,1219,1774.0170337216377,0.6070368747024014,0.04891343253645668,1.264142591098e-35,3.720181797431659e-35,Up
ENSMUSG00000030201.16,Lrp6,2761.999,3176,3427.999,1538,1617.001,1331,2397.5080399953217,0.7374573183296684,0.059547642811676675,1.376693816930576e-35,4.050365129339945e-35,Up
