gene_id,gene_name,cDC1_TNFa_1,cDC1_TNFa_2,cDC1_TNFa_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000038299.17,Wdr36,1605.001,1544,1608,1394.999,1640.001,1499,1604.5612271308185,0.04941790343705734,0.048935565503055084,0.29418590179083476,0.33767859958658086,NS
ENSMUSG00000029185.15,Fam114a1,202,185,210,187,208,152,411.60375402504184,0.09983436274109887,0.10046376785269662,0.2944031128980077,0.33789414746704866,NS
ENSMUSG00000051451.7,Crebzf,1673,1760.001,1709,1717.002,1944.001,1684.001,2120.585129656017,-0.06817317155439835,0.0676252894725511,0.29465214488697905,0.33814617027155514,NS
ENSMUSG00000025014.14,Dntt,142,176,126,127,109,140,121.25289304478844,0.16944164962397193,0.1859763572496651,0.29500626602878516,0.3385187321683361,NS
ENSMUSG00000017446.15,C1qtnf1,11,13,15,15,14,20,74.34150516679416,-0.2209986730758649,0.2745665834369602,0.29540607501380567,0.3389436410255326,NS
ENSMUSG00000033526.17,Ppip5k1,684,646.999,659.001,608.001,662.001,598,1129.1545060981882,0.06923589814515015,0.06882700792588894,0.29555049396767186,0.3390754643052029,NS
ENSMUSG00000026988.16,Wdsub1,293.999,312,313.001,263.999,323,264,417.5062628115047,0.0878295966351763,0.08802062377655026,0.29589716914951425,0.3394392800543329,NS
ENSMUSG00000006050.13,Sra1,1330.999,1229,1339.999,1196,1270.001,1229,1578.8428097650644,0.05590378674051468,0.05559971716583206,0.2965855545620731,0.3401949778280177,NS
ENSMUSG00000029916.12,Agk,198.932,203.917,218.883,175,208,183.977,516.1869249302885,0.10535208700685668,0.10700580745438383,0.2967419972759257,0.34034042695959393,NS
ENSMUSG00000061482.8,H4c4,21,13,8.035,13,13,4,17.192962215770283,0.25161824036829483,0.3479379371174776,0.29678362170443534,0.34035417237911025,NS
ENSMUSG00000025737.6,Wdr24,1063,1073,1081.001,998,1079,972,1205.8450415247264,0.056809386416031546,0.05655291840327141,0.29703296048514943,0.3406060999851179,NS
ENSMUSG00000054708.18,Ankrd24,45,45.999,46,59,54.001,43,195.5691348122713,-0.16277627553565338,0.17775232183800463,0.29752849648491286,0.34114026212044474,NS
ENSMUSG00000027184.15,Caprin1,17496.001,16125.999,17505.999,15562.001,17353.001,16283,20040.11846654075,0.03508049938651758,0.035209297657157995,0.29772316001564975,0.3413293776417438,NS
ENSMUSG00000029490.5,Slc49a3,74,78,84,88,98,78,146.0698901897509,-0.14749822342050165,0.1576944931110771,0.298729274469878,0.34244866314641204,NS
ENSMUSG00000037958.14,Nsrp1,1148,1189.001,1180,1100,1137,1095,1400.790954437286,0.05648733166011051,0.05643412676763985,0.29876343155199764,0.3424536319137142,NS
ENSMUSG00000039568.7,Ubald1,2801,2860,3003,2885,3065,2959,2446.3759825653433,-0.0562211698793285,0.05624242064442801,0.29940187720802525,0.34315118834012914,NS
ENSMUSG00000074978.5,Actg-ps1,32.811,58.675,38.78,36.132,35.072,36.235,38.651622848946275,0.19457717012574255,0.22825104697927712,0.299618247333323,0.3433649036056435,NS
ENSMUSG00000021675.5,F2rl2,995,917,876,966,1027,911,620.2016485201837,-0.07240335531334847,0.0726704657927575,0.299675399442884,0.34339612930871544,NS
