gene_id	gene_name	Control_1	Control_2	Control_3	4h_1	4h_2	4h_3	8h_1	8h_2	8h_3	16h_1	16h_2	16h_3
ENSG00000229924	FAM90A26	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000229937	PRPS1L1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229972	IQCF3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230031	POTEB2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230045	FAM90A15P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230054	TEX53	36	148	33	29	7	19	0	0	0	0	0	0
ENSG00000230062	ANKRD66	0	0	3	0	3	0	0	0	0	0	0	0
ENSG00000230124	ACBD6	11248	14179	15617	13088	8372	8358	1790	1722	1527	1590	1635	1441
ENSG00000230178	OR4F3	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000230246	SPATA31C1	8	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230268	SSU72L6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230301	OR5H6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230347	CT47A8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230358	SPDYE21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230430	USP17L25	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230453	ANKRD18B	1699	1989	2396	2355	1194	1123	313	249	247	173	167	158
ENSG00000230522	MBD3L2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230549	USP17L1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230561	CCDC192	66	95	57	52	46	65	0	0	0	0	0	0
ENSG00000230594	CT47A4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230601	TEX48	25	17	28	24	22	0	0	0	0	0	0	0
ENSG00000230657	PRB4	21	31	0	12	0	5	0	0	0	0	0	0
ENSG00000230667	SETSIP	13	1	11	26	0	1	6	4	4	0	2	3
ENSG00000230707	HAPSTR2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230778	ANKRD63	0	0	0	0	0	0	62	45	65	59	60	50
ENSG00000230797	YY2	0	0	0	0	0	0	71	60	39	42	37	40
ENSG00000230873	STMND1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230989	HSBP1	0	0	0	0	0	0	1699	1569	1424	1410	1331	1249
ENSG00000231051	USP17L28	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231068	KRTAP21-3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231192	OR5H1	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000231213	PLSCR5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231256	CFAP97D1	13	0	0	0	2	0	2	3	4	1	4	4
ENSG00000231274	SBK3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231389	HLA-DPA1	63	65	25	45	9	0	26	20	18	26	23	30
ENSG00000231396	USP17L10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231500	RPS18	17451	15747	16957	14530	11227	11983	182407	161030	152954	177109	165484	172833
ENSG00000231637	USP17L29	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231738	TSPAN19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231824	AKAIN1	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000231852	CYP21A2	0	0	0	0	0	0	0	1	0	1	1	1
ENSG00000231861	OR5K2	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000231887	PRH1	354	439	483	269	262	173	31	28	22	27	16	14
ENSG00000231924	PSG1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231925	TAPBP	1889	2315	1790	1738	1616	1026	3623	3497	3198	3262	3476	3194
ENSG00000231989	PPP1R2B	0	1	0	0	0	0	1	0	0	0	0	1
ENSG00000232030	MAGEB6B	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232040	SCAND3	68	115	87	85	31	62	2	5	7	8	10	7
ENSG00000232070	TMEM253	0	0	0	0	0	0	2	1	0	2	1	1
ENSG00000232112	TMA7	0	0	0	0	0	0	4713	4216	3766	4928	4624	4627
ENSG00000232113	TEX50	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232119	MCTS1	1101	1153	774	688	287	500	1091	1059	975	915	870	777
ENSG00000232125	DYTN	0	0	8	10	0	0	0	0	0	0	0	0
ENSG00000232237	ASCL5	0	21	1	0	0	0	0	0	0	0	0	0
ENSG00000232258	TMEM114	10	0	16	0	0	0	0	0	0	0	0	0
ENSG00000232263	KRTAP25-1	0	0	0	0	0	0	0	0	0	0	0	0
