taxon	HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
GGB28934	0	0.00586	0	0.00981	0.00242	0	0	0.00171	0	0.00124
GGB28944	0.01092	0	0	0	0	0.00684	0.14011	0	0	0
GGB28945	0.22069	0.02928	0.07452	0.21471	0.15725	0.08857	0.45107	0.12214	0	0.0128
GGB28948	0	0	0	0	0.00023	0	0	0	0	0
GGB28949	0	0	0.00163	0.00997	0.01544	0	0	0.00109	0	0
GGB28950	0.01486	0	0	0	0	0	0	0.01026	0	0
GGB28951	0	0	0	0	0	0	0.00207	0	0	0
GGB28954	0.0234	0.03959	0.03049	0.03032	0.04314	0.02229	0.01145	0.05419	0.00419	0.03141
GGB28956	0.06818	0.06212	0.13336	0.08535	0.16571	0.11392	0.13194	0.04869	0.00949	0.05445
GGB28965	0	0	0	0	0	0	0	0.00072	0	0
GGB28968	0.17409	0.26938	0.63032	0.40894	0.59864	0.39008	0.1844	0.19715	0.0319	0.51442
GGB28991	0	0	0.01308	0.13581	0.0084	0	0	0	0	0
GGB28996	0	0	0	0	0.02105	0	0	0.06022	0	0.03407
GGB29531	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
GGB29535	4.14461	0.21233	0	0	0	0.37011	0.4245	2.35177	0	0.09353
GGB29683	0	0	0.30519	0.50536	0.32585	0	0	0	0.13311	0
GGB29685	0	0	0	0	0	0	0	0.29687	0	0
GGB30090	0.03039	0.06586	0	0	0	0.043	0.03535	0.01471	0	0.03827
GGB30093	0	0.04964	0	0	0	0	0	0.08868	0	0.16294
GGB30145	0	0	0.0251	0.0074	0.0123	0	0	0.01463	0.00109	0.01077
GGB30286	0.02233	0.03924	0	0.2388	0	0.05302	0.06463	0.02878	0.042	0.00576
GGB30295	0	0.00355	1.56769	1.11668	1.76518	0	0	0.01251	0.15973	0.08667
GGB30297	0.39017	0.2117	0	0.02392	0	0.5325	0.2947	0.12333	0	0.65711
