gene_id,gene_name,ASHL_1,ASHL_2,ASHL_3,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000123453.19,SARDH,15,26,33,34,21,25,30,27.981998284716006,-0.10459695318788684,0.18113658259041288,0.2564303213258625,0.3966471647931024,NS
ENSG00000108344.15,PSMD3,1884.999,2176.999,2996.999,2276,2224,2114.002,2003.001,2068.7130636226902,-0.0420684201607206,0.03854072375224357,0.25689832873683793,0.3973274272532068,NS
ENSG00000163138.19,PACRGL,251.998,279.99,429.001,306.999,322,326,264.001,277.75803962356224,-0.07746947438336753,0.08115538556995383,0.257140250236253,0.39765790675265883,NS
ENSG00000130023.16,ERMARD,159.001,183.001,266,207,184.001,203,190.001,205.26338227869994,-0.08525682129709383,0.09489901664932145,0.2572974575343589,0.39785732066186036,NS
ENSG00000135392.19,DNAJC14,726.059,861.733,1118.582,914.3,792.891,873.571,787.678,868.981888626629,-0.05949370058429296,0.05717461411788297,0.2573928662642741,0.3979611425581721,NS
ENSG00000256269.11,HMBS,223.999,265.999,339.001,225.998,231,253.001,197.001,223.5774207383171,0.0815804777523402,0.08811564872832592,0.2575060038951163,0.39809234971333507,NS
ENSG00000181894.15,ZNF329,521,587,851.96,601.002,655,656.999,535.755,593.7340847516341,-0.06600952729753404,0.06511098393699025,0.2576006373073251,0.39819492453335853,NS
ENSG00000038210.14,PI4K2B,139,149,217.3,143,150,123,124,141.67855814032308,0.08923183688427734,0.10347984736494513,0.2576608498800135,0.39822352447390325,NS
ENSG00000159164.10,SV2A,11408,13816,17845,12925,12524,12205,11955,12223.217302609424,0.03889434576778745,0.03548238547413153,0.25767570906721066,0.39822352447390325,NS
ENSG00000141552.18,ANAPC11,947.001,1120,1471,1062.001,1046.201,1032.084,875.999,1045.223487217288,0.05559193905134305,0.05281460512120277,0.25794481558352744,0.3985956600373705,NS
ENSG00000005108.17,THSD7A,1386.051,1422,2062,1639.336,1568,1552.051,1305,1535.330824894841,-0.057808894981322426,0.05534981833516937,0.25820808022068625,0.3987864643116934,NS
ENSG00000089335.22,ZNF302,864.623,1124.833,1505.752,1005.368,1124.266,958.874,843.261,1009.8160848504766,0.059359511165644974,0.057130089946776534,0.2581621389588545,0.3987864643116934,NS
ENSG00000116977.19,LGALS8,655.998,785.998,1048,794.001,783.999,764.001,767,749.7178470968497,-0.06477436371490536,0.06365168606857714,0.2581625224279417,0.3987864643116934,NS
ENSG00000126218.12,F10,10,12,10,11,15,11,17,16.71415348157505,-0.09963104645143117,0.21331121425263994,0.2581101025109479,0.3987864643116934,NS
ENSG00000157869.16,RAB28,344,366,548.001,329,380,386,288,336.09338469511283,0.07687323414459768,0.08048952572772751,0.2582099160924353,0.3987864643116934,NS
ENSG00000148362.11,PAXX,334.999,369.001,552.999,386,386,426,381.999,377.9239876577452,-0.0719797837395821,0.07325264035852903,0.25839059550851695,0.39902173896724913,NS
ENSG00000256029.6,ENSG00000256029,14.092,22.515,47.356,34.565,17.064,17.005,61.084,25.847247291201292,-0.09979445834479349,0.21236820171815218,0.25841995624731756,0.399023312569202,NS
ENSG00000148468.17,FAM171A1,1362,1570,2141,1569,1465,1478,1274,1419.0546135811667,0.04958439318921279,0.04637303147311824,0.25845982735785084,0.3990411129916857,NS
ENSG00000060069.18,CTDP1,474,496,662.999,515,570,512.999,470,457.9138419047993,-0.06979661554735868,0.07030261778675585,0.2587623017546432,0.39946430333373045,NS
ENSG00000113845.10,TIMMDC1,666.001,713.001,1027.999,665.001,734.999,743,545.999,694.3266264119773,0.06864861307685785,0.0687711419756961,0.2588350708189862,0.39953283215223184,NS
ENSG00000119227.8,PIGZ,243.001,313,466,260,306,259,270,293.3244098001312,0.08384748791228944,0.09270865827082543,0.258866629940947,0.3995377420454498,NS
ENSG00000124541.7,RRP36,527,554,756,539,629,600,554.07,510.7759544376897,-0.07006629441412922,0.07071569192693182,0.258988693497548,0.39968232113909663,NS
ENSG00000135148.12,TRAFD1,816.001,1007.001,1381,904.001,976,955,763,930.789402963037,0.061137611592655815,0.05935240885951734,0.25902670032676445,0.39969716285626,NS
ENSG00000163075.13,CFAP221,134,202.001,255,174.001,176,145,131,143.03331066716007,0.09082715559353789,0.10793288472553905,0.25906186423672384,0.39970761496863944,NS
ENSG00000162614.19,NEXN,39,55,70.001,35,39,41,43,34.676354753316375,0.10352920010978253,0.16368579087527693,0.25915521837946415,0.39980783690165195,NS
ENSG00000204390.10,HSPA1L,59.061,78.19,108.127,95.143,84.128,89.105,65.073,74.38026948666533,-0.0986034054143595,0.1323739298846326,0.2592123547028301,0.39985216849579763,NS
ENSG00000284820.1,ENSG00000284820,58.623,42.009,60.355,96.949,40.955,39.419,64.7,70.95250816729201,-0.10386639690509242,0.17188710297644813,0.2593655830897368,0.40004470248908897,NS
ENSG00000093144.19,ECHDC1,820.999,963,1421,945.001,940,949,784.001,954.1966591934121,0.05408889786920639,0.05134068906226425,0.2594455801537799,0.40009806029043626,NS
ENSG00000140464.20,PML,361.999,481.001,659.001,418,468,404.999,361,367.9884123091051,0.07375665389801385,0.076052292192982,0.2594570133142754,0.40009806029043626,NS
ENSG00000171448.9,ZBTB26,314,341,496,315,338,341,278,322.7240570165488,0.0737594038648844,0.0760634054722901,0.25948798920543037,0.4001020041641939,NS
ENSG00000145248.7,SLC10A4,196,248,285,196,202,181,208,196.9534247163735,0.08747328906684804,0.10033406368419497,0.2595244440376014,0.4001143941749223,NS
ENSG00000102921.8,N4BP1,865,1074,1437,1012,959,971,875.001,946.5216239328616,0.05523365762621955,0.05266111957992065,0.25984405547650524,0.4005194281863058,NS
ENSG00000183578.8,TNFAIP8L3,164,238,279,133,195,183,204,199.20510953046013,0.09283870687434273,0.11362157066659778,0.25983942899638796,0.4005194281863058,NS
ENSG00000105699.17,LSR,44,33,62,41,53.001,69,37.001,49.725224775115265,-0.10316235370066454,0.16132809986243069,0.25991580906569034,0.40058617141060254,NS
ENSG00000182600.10,SNORC,117.164,129.847,173.594,143.571,127.828,138.878,152.969,130.22430864764195,-0.09517241768225349,0.12070541289949933,0.2600853880392635,0.40080365348125996,NS
ENSG00000134202.12,GSTM3,898.001,1112,1412.001,982.001,1059,932,904,966.3473651433586,0.056339302653342214,0.05394395877591035,0.26015199007519335,0.40086241307525966,NS
ENSG00000112964.14,GHR,15,41,48,40,38,42,33,28.399819599077254,-0.10360138171480282,0.18099068719382136,0.2602987669423015,0.4010446859028959,NS
ENSG00000125817.8,CENPB,1556,1796,2394,1778,1620,1648,1507,1409.770707101749,0.05069809394617352,0.04778367439639744,0.26049753081689797,0.40126310025942086,NS
ENSG00000184939.16,ZFP90,1340.999,1530.999,2348.599,1563.999,1458.999,1444.998,1425,1540.5156547946356,0.050469826518190965,0.04753782224823028,0.2604826693552722,0.40126310025942086,NS
ENSG00000153339.15,TRAPPC8,572,632.999,958.001,591,635.001,610,580,602.2141917389605,0.06281104724303531,0.06163767941458126,0.2606863285480286,0.4015099901135209,NS
ENSG00000135249.8,RINT1,305,396,483.001,332,364,318,291,341.5797514956119,0.07714921511610458,0.08162274931289155,0.2609209844621418,0.40182744916238183,NS
ENSG00000137700.19,SLC37A4,315.002,331,506.001,371,375,366,340.001,366.82350193867575,-0.07255826474093356,0.07466117024903722,0.2610668591801622,0.40200812757273363,NS
ENSG00000148303.17,RPL7A,8104.97,9251.849,13616.931,9778.187,10060.862,9588.14,8233.333,9907.654230686529,-0.041274567876384824,0.038121019998885,0.2611569907878728,0.4021029389000942,NS
ENSG00000037042.9,TUBG2,400.655,508.532,694.078,520.082,519.511,479.805,488.405,486.45450188671566,-0.06914545098148986,0.06995694233740721,0.2614919129901089,0.4025213715271635,NS
ENSG00000132541.11,RIDA,176,219,339.999,190,211,196,192.001,199.48614172352512,0.08317811719813446,0.09232113868265812,0.261514524139425,0.4025213715271635,NS
ENSG00000141294.10,LRRC46,20,21,30,22,14,11,16,15.718004488517117,0.10164573153365504,0.19923582728130762,0.26149091826393583,0.4025213715271635,NS
ENSG00000186951.17,PPARA,212,238,334.001,268.001,256.999,255,221,263.1848837592937,-0.07829900739736453,0.08367228134094229,0.2615722324430356,0.40252218390703887,NS
ENSG00000196646.12,ZNF136,160,198.001,298,246,198,212,186.28,204.6218272235489,-0.08417839029393466,0.09427503957583172,0.261555759380999,0.40252218390703887,NS
ENSG00000011478.13,QPCTL,130,146.999,231,129,146.001,122.999,136,130.46909643630676,0.09120391970938915,0.11033514151854619,0.2619514662867516,0.4030617151749919,NS
ENSG00000115468.13,EFHD1,44,32,64,36,33,36,29,33.530807623619395,0.1031570913838072,0.16988795206816096,0.2619805739172822,0.4030624522108421,NS
ENSG00000188827.12,SLX4,522,667.999,847,612,563.001,575,537,587.9737504883399,0.06277298095238977,0.061822666811897804,0.2621199538941037,0.4031945586781796,NS
ENSG00000197535.16,MYO5A,8236.998,10076,13891.001,9707.001,9299.998,9270,8533,8871.630767067096,0.04147261348033354,0.038403091018127763,0.26212371585917876,0.4031945586781796,NS
ENSG00000197448.14,GSTK1,529.15,643,872,533,603.001,574.999,556.001,541.8087275220335,0.06956848642234138,0.07068056398036822,0.26221904527678397,0.4032971311395938,NS
ENSG00000101347.11,SAMHD1,544.999,655,911,583,594,595.001,585.001,574.2360202424929,0.06388464983337877,0.06326808817369345,0.2624948596097788,0.40364417229977684,NS
ENSG00000170892.13,TSEN34,659,740.999,1063,698,736,681,639,584.6925728443218,0.06452344079117471,0.06407519997984412,0.26250202724460237,0.40364417229977684,NS
ENSG00000170113.16,NIPA1,2243.001,2808.11,3761,2559.051,2551.027,2572.071,2388.999,2496.9927974099105,0.04245239629445665,0.039455525580745505,0.2628682110019723,0.40416310393106564,NS
ENSG00000069696.7,DRD4,24,34,30,23,17,18,22,20.53234791893155,0.10169725315861536,0.1961974052198233,0.2629272351108804,0.40420971206880163,NS
ENSG00000196363.10,WDR5,1067.974,1189,1641.975,1308,1286.915,1204.918,1047,1086.6194580651193,-0.05732565594245498,0.05545381741375477,0.2629677608402177,0.40422787475373134,NS
ENSG00000001561.7,ENPP4,409,489,623,459,462,417,354,442.23670924278247,0.07290202778191869,0.07560286180402231,0.26303765868353995,0.4042782143916019,NS
ENSG00000105058.12,FAM32A,1284.999,1558.001,2047,1477,1623.001,1494.999,1418.999,1411.7813445624743,-0.049775001913299866,0.04708380907992614,0.2630579389190614,0.4042782143916019,NS
ENSG00000285253.1,ENSG00000285253,29.931,27.921,60.4,24.235,29.909,23.024,32.986,32.7373775638486,0.10292173501913748,0.17267119979112547,0.2632119914097459,0.4044708171859651,NS
ENSG00000187682.2,ERAS,19,26,41,35,26,33,33,28.089723822101845,-0.1028302984864988,0.18138071850273826,0.2632653756672318,0.4045087006459627,NS
ENSG00000176597.12,B3GNT5,183,186,315,196.001,196,196,129.001,165.9678543809057,0.09302448692951014,0.11613810192307251,0.2633117444738857,0.40453579773546894,NS
ENSG00000046653.15,GPM6B,5412.999,6298.001,9212.999,6323.001,6195.001,6288.002,5098.999,6228.520641712351,0.04196883588835198,0.03901587920847255,0.2634158639907803,0.40456331942033336,NS
ENSG00000135587.9,SMPD2,55,90,83,57,64,60,51,62.93322781619082,0.10014161632640434,0.1442127829172566,0.26340405778469417,0.40456331942033336,NS
ENSG00000181404.18,WASHC1,142.181,144.838,203.874,158.409,176.098,185.492,128.192,142.1621076657023,-0.0889976521913763,0.10548545883534148,0.26339449748675214,0.40456331942033336,NS
ENSG00000121207.12,LRAT,27,24,53,41,37,38,34,35.54600158493531,-0.10282289703258322,0.1714635570052925,0.26351291663930465,0.4046682322605552,NS
ENSG00000102924.13,CBLN1,2032,2227,2996,2386,2207,2457,2049,2304.8894814835003,-0.06242359359916979,0.061643678314523,0.2636816897295686,0.4048832489587301,NS
ENSG00000111237.19,VPS29,1052,1194,1629,1062.999,1175,1101.999,1051,1001.0704488685855,0.05485945204233099,0.05274187186899751,0.26371669566387124,0.4048928416850211,NS
ENSG00000171103.11,TRMT61B,223,285,409,257.999,264,249,228,250.80443578274296,0.0781695772854167,0.08405512821644773,0.2637602372137381,0.4049155358992715,NS
ENSG00000147434.9,CHRNA6,47,57,60,57,53,66,58,53.630122468848334,-0.10135478774399283,0.15306781466337918,0.2638915916984345,0.4050730178284191,NS
ENSG00000156172.6,CFAP418,111,92,163,93,104,105,79,96.4504397018533,0.09546569108830548,0.12439032415724796,0.2640002349397519,0.40519560751300193,NS
ENSG00000148429.15,USP6NL,418.001,530,778,600,559.999,513.999,479,516.8439572949728,-0.0685839205201129,0.06969904789388076,0.26407724579010167,0.40526962540645756,NS
ENSG00000184221.13,OLIG1,21,24,34,42,29,26,21,30.115929241081762,-0.10267964922715916,0.17842103727560563,0.2641694714839267,0.40536697428034923,NS
ENSG00000120539.15,MASTL,128,128,169,145,152,158.001,111,138.34456775920663,-0.09066096145948442,0.11015072452309933,0.26438264790733235,0.40562045233521454,NS
ENSG00000211455.8,STK38L,438,538.001,785,496.999,519.999,531,405.001,534.2624745051659,0.06800653392812334,0.06897581715633948,0.26439227864764997,0.40562045233521454,NS
ENSG00000277957.1,SENP3-EIF4A1,36.633,48.488,112.469,33.111,44.383,26.416,64.075,43.9277373248596,0.10171463693418634,0.1927798395213811,0.26443101088833826,0.40563567251001464,NS
ENSG00000113300.13,CNOT6,1207,1399,2044,1403,1399,1321,1153,1267.507953939162,0.049846077253661,0.0473343662593101,0.26461672288728,0.4058511547469013,NS
ENSG00000268107.6,ENSG00000268107,21.968,30.471,67.359,49.834,34.47,52.077,34.102,37.10278236572363,-0.10259066354794487,0.1759328043944404,0.2646291356329678,0.4058511547469013,NS
ENSG00000083814.13,ZNF671,295.999,399,450.999,396,412,361,297.999,381.9047111130576,-0.07552900384159665,0.08000126458663326,0.2646841334901674,0.40589128803050506,NS
ENSG00000182551.14,ADI1,369,422,687,385,434,392,404,415.4267418661017,0.07303255298807676,0.07617734103036429,0.2647185384660444,0.40589983697053356,NS
ENSG00000183114.8,FAM43B,297,388,494,403,393,352,343,366.1065444214211,-0.0729442786036191,0.07607689605649746,0.26485593632009435,0.40606628851689086,NS
ENSG00000213903.9,LTB4R,85,76,128,73,85,70,70,76.1185475561089,0.09659568035443751,0.12947900538817267,0.26518288920074795,0.40652329018481387,NS
ENSG00000156928.5,MALSU1,235,269,377,228,259,246,230.001,249.54456030881286,0.07873993397809588,0.08543984147126896,0.2652506858038435,0.40653631364415777,NS
ENSG00000159625.15,DRC7,30,26.001,36,23,20.001,23,20,23.244190515168384,0.10213253464010742,0.18525190415194503,0.2652780107570763,0.40653631364415777,NS
ENSG00000169499.15,PLEKHA2,221,268.001,444.992,238,239,263.999,257,261.44433197953975,0.0821946783538151,0.09168407429774861,0.2652456047805066,0.40653631364415777,NS
ENSG00000126759.14,CFP,25.747,21.841,35.399,33.988,20.296,30.257,40.48,30.88308116669023,-0.10232780019344857,0.18056309924118832,0.2653566216948658,0.40661252468894377,NS
ENSG00000163171.8,CDC42EP3,629,747,1106,683,745,714,635,647.3961281689164,0.06032687712252672,0.059355068911351755,0.2654256951095298,0.40667410615377847,NS
ENSG00000203780.12,FANK1,35.001,39.999,66,34.001,35,41,25,31.54445968773204,0.10217734823916565,0.1667989702509503,0.26546251026958984,0.4066862548515294,NS
ENSG00000153162.9,BMP6,17,16,26,14,6,20,11,17.650986101888257,0.09927005940290928,0.2063504149960282,0.265529668049298,0.4067448804772132,NS
ENSG00000118965.16,WDR35,511,589,881,635.999,642.001,654.999,527.001,573.5133881491615,-0.06255365893764964,0.062123471523060934,0.2656463201464966,0.40687930171263326,NS
ENSG00000136999.5,CCN3,69,82,124,81,74,71,58,97.17920797696645,0.09567254777861656,0.12647295283417953,0.26580047255013534,0.4070268493619051,NS
ENSG00000188786.10,MTF1,295,346,470,393,363,365,290,316.26960796044494,-0.07414744165260288,0.07811433767199323,0.265777846711531,0.4070268493619051,NS
ENSG00000134851.13,TMEM165,644.003,727,1013.999,739.002,711.001,667.001,572,667.3082055077258,0.06014500800773481,0.059216254638850135,0.26595840159407014,0.40712088909665717,NS
ENSG00000137261.15,KIAA0319,830,990,1403,928,891.001,937.001,876,853.4944134302172,0.05542241652259525,0.0536762502874444,0.2659811670678184,0.40712088909665717,NS
ENSG00000198739.11,LRRTM3,478,546,733,519,617,575,503,536.9474871712504,-0.06897041942811083,0.07060770422659725,0.2659860625386906,0.40712088909665717,NS
ENSG00000215012.9,RTL10,680.835,834.333,1141.739,785.662,787.539,741.273,684.397,736.4205054248556,0.05601276691159501,0.05434227541400225,0.26590480659294663,0.40712088909665717,NS
ENSG00000227500.11,SCAMP4,792,978,1320,1013,923.001,950.742,926,896.9042826397489,-0.055865973345679616,0.05418735055625541,0.26600646770368275,0.40712088909665717,NS
ENSG00000109320.14,NFKB1,165.001,209,301,184,198.002,194,146.999,174.3237337616417,0.08589068738395225,0.09952007385585779,0.26611411968367576,0.40724137945939903,NS
ENSG00000112218.9,GPR63,94,64,148,91,62,88,66,74.55145463990789,0.09930091234515136,0.14296344310080145,0.2661650327049963,0.4072750239597482,NS
ENSG00000187554.14,TLR5,11.999,10,13.001,11.001,16,11,20,14.330529409319428,-0.097944750947789,0.21122877037268092,0.26623639153977663,0.40733994310894533,NS
ENSG00000230989.8,HSBP1,4745.547,5679.653,7811.526,5511.964,5822.082,5577.419,5255.343,5492.102631946329,-0.03976191752150355,0.037043786270440804,0.26630256246313855,0.4073969115417285,NS
ENSG00000125826.22,RBCK1,965.999,1261.001,1722,1187.998,1109,1115,1029.001,1129.5499510503378,0.05624848591599105,0.05468230712483979,0.2664129312625701,0.40752147536350763,NS
ENSG00000162413.17,KLHL21,406,471.001,761,487,437,475,405,444.31229364078877,0.06923732790046591,0.07107755241089009,0.26647671191626277,0.4075747557924024,NS
ENSG00000122257.20,RBBP6,1104.999,1263.001,1671.999,1363,1248.001,1230,1146.001,1193.2747773477356,-0.05051748924926325,0.04829900339662964,0.2667106119365922,0.4078881930757421,NS
ENSG00000125247.16,TMTC4,1196.001,1471.001,2003,1393.001,1372,1381.001,1173,1251.2813737524552,0.047532342215028216,0.04509880756578023,0.2667978857082251,0.4079773468975889,NS
ENSG00000136250.12,AOAH,23,22,30.001,17,21,13,17,18.833561869944315,0.10084097868841467,0.19471242381927886,0.26692142784787926,0.40812193556367204,NS
ENSG00000060688.13,SNRNP40,362,449.001,667.001,544,462,444,402,436.1978599313697,-0.07090595363436644,0.0735598202055852,0.2670130831293366,0.40821774322705284,NS
ENSG00000167994.13,RAB3IL1,169,196,241,159,190.001,163,144,150.41828807517564,0.0862711824240918,0.10077637567047798,0.26714892776269433,0.4083810807786073,NS
ENSG00000174473.17,GALNTL6,173.001,231.999,284.001,213,235,231,208,201.7456077005941,-0.08184973104569877,0.09174010471205758,0.26741798853874177,0.4087480035432575,NS
ENSG00000196507.11,TCEAL3,791.909,955.339,1309.825,909.763,973.418,932.804,968.959,852.9868186818676,-0.06015929699706946,0.05947225270606727,0.2675271420034565,0.4088704550875667,NS
ENSG00000056050.7,HPF1,441.981,527.964,719.984,482,517.971,497,387,464.5911203397461,0.06820644541317379,0.06986907768947015,0.26758903873964945,0.40890428515373567,NS
ENSG00000130052.14,STARD8,17,21,34,34,17,25,32,25.387903842357908,-0.10136670631366662,0.18754344885968194,0.26766545152189986,0.40890428515373567,NS
ENSG00000226742.4,HSBP1L1,24,16,28,33,21,23,27.001,24.89375424612944,-0.10147677539203427,0.1861774514527918,0.267620480176735,0.40890428515373567,NS
ENSG00000234465.11,PINLYP,21.001,31,30,34.999,24,33.001,30,29.052781167394173,-0.10184136885585965,0.17535128071034123,0.2676543735453569,0.40890428515373567,NS
ENSG00000176148.16,TCP11L1,264,340,525,292,333.999,317,270.999,288.2051049586488,0.08091165044485403,0.09010192921011807,0.26783566476004317,0.40903116652095106,NS
ENSG00000198561.16,CTNND1,2440.391,2749.943,3952.707,3075.341,2789.113,2954.933,2524.507,2865.3604288910115,-0.05904687530240741,0.05816768580328746,0.267783911167562,0.40903116652095106,NS
ENSG00000267059.2,ENSG00000267059,172.786,249.808,375.904,278.852,298.042,228.469,312.74,202.224918582949,-0.10138971252516661,0.16299475434559904,0.2678185924122442,0.40903116652095106,NS
