gene_id,gene_name,CHD3_1,CHD3_2,CHD3_3,CHD3_4,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000110321.19,EIF4G2,18496,16093,18178,18221.002,29793.002,30377.001,29422.999,27147.002,24760.677438766917,-0.5399671254297702,0.025468773513624393,2.987007837479166e-101,4.3354725096772346e-99,Down
ENSG00000174996.12,KLC2,868.001,728.998,751,737.999,1978,1865,1875,1840,1638.9122694052671,-1.107569843446878,0.05245625315339445,8.295748145982428e-101,1.191794266809047e-98,Down
ENSG00000174574.16,AKIRIN1,2767.994,2292,2760,2669,1706.986,1654,1638,1327,2572.7639643014318,0.899004565894838,0.042671709052302914,5.620602757410953e-100,7.993178406221092e-98,Up
ENSG00000102900.13,NUP93,1375.001,1055,1276.999,1290,2720.001,2729,2598,2415,1973.3754882742448,-0.8859194093905958,0.04216376402670915,1.949040763429441e-99,2.74405449083231e-97,Down
ENSG00000221823.11,PPP3R1,1096.135,1040.927,1122.24,1134.381,2418.659,2436.505,2544.156,2219.85,2005.6686133668643,-0.9465455144069038,0.0451555444052955,4.302243758709626e-99,5.997157413749784e-97,Down
ENSG00000075043.21,KCNQ2,5064,4172.001,4661.999,4706.002,8805,8237.001,8024.001,7576,7093.714923928742,-0.6329921643583133,0.03030977709397135,3.4727252747199603e-98,4.793382268900228e-96,Down
ENSG00000127946.17,HIP1,1663,1248,1485,1512,3115,2987,2988,2736,2449.830500533212,-0.822354179132549,0.03938957611953769,4.0404218629138054e-98,5.494672731733761e-96,Down
ENSG00000176749.9,CDK5R1,2745,2394,2656.001,2868,5395,5294,5098,4807,4163.022585548311,-0.7694959601993934,0.03684762233161295,4.058853356774708e-98,5.494672731733761e-96,Down
ENSG00000135439.12,AGAP2,2129,1835,1989,1855.999,4710,4294,4434,4407.001,3340.785247648652,-1.0097945285418437,0.04845799095876312,4.301664192621125e-98,5.76791715884884e-96,Down
ENSG00000214517.10,PPME1,764.998,691,765.001,844,1885,1879.999,1737.999,1615,1372.9476419256528,-1.0295556017874266,0.049801109986512174,1.22130013127972e-96,1.6221400517252056e-94,Down
ENSG00000120053.12,GOT1,759,627,761,708,1677,1657,1661,1400,1248.9623670084366,-0.9787847543966629,0.0476228405576194,1.8530291526965846e-95,2.438205368300487e-93,Down
ENSG00000104765.16,BNIP3L,1310.999,1084,1188,1228,2456,2497,2498,2164,1990.1910902016823,-0.8176134331184943,0.03972754212224878,1.9557936887236612e-95,2.5495943836611506e-93,Down
ENSG00000065491.8,TBC1D22B,215,193,248,257,805,789,728,740,563.4938923345238,-1.5488814850384371,0.07703299897894594,7.418729609988494e-93,9.582412310002571e-91,Down
ENSG00000140632.17,GLYR1,1399.999,1123.999,1292.001,1345.991,2817.999,2574.996,2663.999,2434.997,1989.1764029178712,-0.842676884918674,0.04154491998653088,7.922761325129005e-93,1.014041424513557e-90,Down
ENSG00000204469.13,PRRC2A,4457.001,3538,4095.999,4351,8177.999,7606.999,7674.001,6999,6251.902617757363,-0.7111897753075817,0.03504477189858709,8.04302285704005e-93,1.0201596288672692e-90,Down
ENSG00000135924.17,DNAJB2,1497.001,1296.998,1465.998,1370.999,3095.999,2910.001,2904,2887,2401.6971136003,-0.8860018551995945,0.04375301177645216,1.3362520418506525e-92,1.6797404015370835e-90,Down
ENSG00000133069.17,TMCC2,585,544,633,687,1629,1570.001,1576,1503,1277.6703077913025,-1.1702231308749083,0.058169361229699776,5.346746396795476e-92,6.661667479688807e-90,Down
ENSG00000155252.14,PI4K2A,292,258,308,307,875,825,886,791.583,645.4051117585202,-1.3434338821668892,0.06696221258487708,6.31135508855923e-92,7.79452353437065e-90,Down
