gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000122884,P4HA1,2159,1986,1951,4365,4055,3623,2957.564956064766,-0.7974478577114987,0.04106741123641254,7.528044635503276e-86,1.4415659966507941e-83,Down
ENSG00000107262,BAG1,4570,4320,4337,3273,2955,2673,3727.0000717544917,0.7422757352966671,0.038388392115235453,7.002318805528844e-85,1.321737691106466e-82,Up
ENSG00000142864,SERBP1,21845,21137,20379,19176,17395,15653,19346.327546442517,0.45434021268736474,0.0234634347291929,2.392519133328142e-84,4.45244440967109e-82,Up
ENSG00000188976,NOC2L,5758,5745,5379,4463,4017,3682,4881.458279531046,0.6451033029009706,0.03340369203801547,2.5931979060231483e-84,4.758878323928314e-82,Up
ENSG00000160117,ANKLE1,2825,2780,2655,1751,1719,1481,2233.1078583469816,0.9049053725252141,0.047341626226729466,6.65615394925256e-84,1.2047638648147135e-81,Up
ENSG00000198830,HMGN2,18690,18517,18096,32091,28682,26887,23470.28203392017,-0.48386115031279253,0.02526358910816823,1.247339690961182e-82,2.2271755860365e-80,Down
ENSG00000135046,ANXA1,553,544,585,1745,1560,1490,1047.271166721948,-1.3196585189387962,0.06966848554248903,1.9652093321255015e-82,3.462174787383234e-80,Down
ENSG00000180448,ARHGAP45,9935,9520,9150,8135,7587,6882,8584.81223817044,0.5127605789587568,0.026986779611005297,2.0350873738725254e-81,3.538106509339168e-79,Up
ENSG00000065183,WDR3,3275,3143,3086,2228,2054,1831,2633.7957836664054,0.8054458337297316,0.0426792567697481,2.4249146859994277e-81,4.161090616377979e-79,Up
ENSG00000096384,HSP90AB1,80943,81013,78885,71782,64221,60720,73315.43167476961,0.46691920743908166,0.024594810605614338,3.3271227537437057e-81,5.636060634001997e-79,Up
ENSG00000109805,NCAPG,1546,1392,1415,3371,3012,2803,2203.6712070008125,-0.8902278578008527,0.047381369195652744,3.919061841881737e-81,6.554754951491568e-79,Down
ENSG00000179115,FARSA,8399,8382,8193,6673,6232,5595,7305.261618262519,0.605761607653238,0.03202766570397233,6.888984708192272e-81,1.137801936866806e-78,Up
ENSG00000114631,PODXL2,1641,1708,1587,888,854,761,1263.6852290123343,1.1437303961179623,0.06141548750445902,2.24273873706401e-80,3.658432954669971e-78,Up
ENSG00000184897,H1-10,838,770,738,2107,2069,1736,1337.4706869035008,-1.1442592113597163,0.06160946595293001,5.7179907636680245e-80,9.213635604920195e-78,Down
ENSG00000100364,KIAA0930,9264,9194,9018,7567,6814,6126,8057.745943880263,0.596202521181154,0.03175089259257716,9.518705698323598e-80,1.515309137252406e-77,Up
ENSG00000130810,PPAN,3437,3432,3275,2352,2108,2075,2814.915183420324,0.8013474390855236,0.04305372930139094,3.338135915038956e-79,5.2508083149297285e-77,Up
ENSG00000112701,SENP6,3379,3129,2928,6119,5569,5162,4298.104298358036,-0.6549341529716803,0.03527332687435706,3.3629931122671264e-78,5.227673881457122e-76,Down
ENSG00000029993,HMGB3,1367,1339,1299,3268,2748,2654,2060.902799528319,-0.9246681929626328,0.05046192706162198,1.4558056334917965e-77,2.236693004107803e-75,Down
ENSG00000026025,VIM,14194,14725,14158,25893,24148,21894,18859.252507061854,-0.5576483219087809,0.030146972236447942,2.1465293418734245e-77,3.260010597031444e-75,Down
