gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000217646.1	H2BC16P	0	0	0	0	0	0	0	0	0
ENSG00000217648.1	PARLP2	3	8	6	9.011	15	8	9	5	2
ENSG00000217653.1	PIMREGP3	0	0	0	0	0	0	0	0	0
ENSG00000217680.1	UBE2V1P15	0	0	0	0	0	0	0	0	0
ENSG00000217684.2	RPS3AP24	0	0	0	0	0	0	0	0	0
ENSG00000217686.2	NUS1P4	0	0	0	0	0	0	0	0	0
ENSG00000217702.3	ENSG00000217702	3	0	0	2	1	0	0	0	0
ENSG00000217707.2	SERPINB8P1	0	0	0	0	0	0	0	0	0
ENSG00000217716.3	RPS10P3	1.054	1.071	0	1.086	2.218	1.078	1.087	2.167	2.202
ENSG00000217718.1	NDUFB4P4	0	0	0	0	0	0	0	0	0
ENSG00000217733.2	CCT7P1	0	0	0	0	0	0	0	0	0
ENSG00000217746.1	ENSG00000217746	0	0	0	0	0	0	0	0	0
ENSG00000217767.2	NDUFAB1P1	0	0	1	1	0	1	0	0	1
ENSG00000217769.4	ENSG00000217769	0	0.951	0	2.146	1.004	0	1.185	0	0
ENSG00000217770.1	FEM1AP3	0	0	0	0	0	0	0	0	0
ENSG00000217776.1	ENSG00000217776	0	0	0	0	0	0	0	0	0
ENSG00000217783.2	LDHAL6FP	0	0	0	0	1	0	0	0	0
ENSG00000217786.1	ENSG00000217786	0	0	0	0	0	0	0	0	0
ENSG00000217791.4	ASS1P9	0	0	0	0	0	0	0	0	0
ENSG00000217801.13	ENSG00000217801	0	0	0	0	0	0	0	0	0
ENSG00000217805.2	ENSG00000217805	0	0	0	0	0	0	0	0	0
ENSG00000217809.1	FAT1P1	0	0	0	0	0	0	0	0	0
ENSG00000217811.1	HNRNPDP2	0	0	0	0	0	0	0	0	0
ENSG00000217824.1	SNRPEP6	0	1.002	0	0	0	1	0	0	0
ENSG00000217825.2	ENSG00000217825	0	0	0	0	0	0	0	0	0
ENSG00000217835.3	RBMXP5	2.007	2.014	0	2.049	1.121	0	0	1.002	1.008
ENSG00000217862.2	H4C10P	0	0	0	0	0	0	0	0	0
