gene_id,gene_name,16h_1,16h_2,16h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000134138,MEIS2,1298,1113,1228,15682,20114,17270,8259.080271374756,-3.71161150264677,0.06694087268094923,0,0,Down
ENSG00000134146,DPH6,292,238,234,6709,7839,7298,3194.224670973631,-4.685699301580564,0.09121946062041952,0,0,Down
ENSG00000134318,ROCK2,1144,1067,1068,6494,8432,6753,3736.787784364256,-2.56975876013809,0.0622033273841317,0,0,Down
ENSG00000134444,RELCH,539,478,431,5327,6479,6112,2839.822013413465,-3.479270968642544,0.08925777415215747,0,0,Down
ENSG00000134769,DTNA,780,803,756,24136,30360,22170,11050.970477058348,-4.872954413490998,0.07800383304701639,0,0,Down
ENSG00000134882,UBAC2,3208,3021,3000,16233,21048,17417,9312.277301575832,-2.4133921754282577,0.055081168619948113,0,0,Down
ENSG00000135090,TAOK3,4295,4034,3998,18882,24020,19108,10920.027824941404,-2.17725734837167,0.04125846643570864,0,0,Down
ENSG00000136040,PLXNC1,635,601,585,4622,6134,4967,2701.377238161089,-2.954164841128191,0.06682858056393526,0,0,Down
ENSG00000136141,LRCH1,848,743,709,6714,8433,6783,3502.197222363997,-3.0992009707569657,0.07553123445475378,0,0,Down
ENSG00000136643,RPS6KC1,438,406,403,4465,4804,4538,2318.275223979876,-3.321392470476482,0.08062300572548693,0,0,Down
ENSG00000136770,DNAJC1,1295,1185,1299,11404,14182,12465,6004.467840611069,-3.1783404236897894,0.06645263715595816,0,0,Down
ENSG00000137478,FCHSD2,1053,991,864,9515,11903,10325,5118.463694091642,-3.2967223428577284,0.07618168994942201,0,0,Down
ENSG00000137818,RPLP1,76959,75132,76495,4194,4377,4539,36176.38196984976,4.258106623590262,0.08690361269015703,0,0,Up
ENSG00000138190,EXOC6,702,630,657,5892,7587,6027,3027.7994024322484,-3.137773271946662,0.06695318069431065,0,0,Down
ENSG00000138814,PPP3CA,2296,2185,2056,14725,17096,15821,8148.084434924321,-2.7187035872869445,0.05696931976372056,0,0,Down
ENSG00000139083,ETV6,2020,2080,1815,28339,38376,29397,14858.261440682376,-3.863979224187767,0.061827920504915125,0,0,Down
ENSG00000139173,TMEM117,250,245,264,12804,15457,14999,6553.833257448404,-5.669366372557427,0.11708438485477742,0,0,Down
ENSG00000139668,WDFY2,1179,1084,988,9397,10795,10321,5090.7705787155155,-3.0838026358431128,0.0790377716011869,0,0,Down
ENSG00000140262,TCF12,1971,1892,1850,18296,19647,19772,9670.462328863356,-3.1917913809137084,0.07303793510481345,0,0,Down
ENSG00000140386,SCAPER,424,459,438,6811,8537,6661,3368.6292170118677,-3.8999314774368576,0.07430904014918843,0,0,Down
ENSG00000140718,FTO,583,535,588,8653,9104,8041,4012.770628075854,-3.768357140839861,0.07907381888515985,0,0,Down
ENSG00000140988,RPS2,130115,127042,122784,14067,13284,12658,65726.39719201004,3.3807371580794108,0.08547538903321235,0,0,Up
ENSG00000141298,SSH2,1319,1273,1209,8646,10437,9492,4876.927796246113,-2.76105063244891,0.061130081457447805,0,0,Down
ENSG00000141627,DYM,1281,1249,1171,8599,11207,8563,4649.938393239741,-2.7815161621615925,0.0652741716588394,0,0,Down
ENSG00000142534,RPS11,65802,62544,64067,11279,12687,11177,34139.68699905205,2.5985765031584256,0.04978634020214909,0,0,Up
ENSG00000142541,RPL13A,139673,140190,139127,15654,15082,15347,70025.00792272191,3.3182640145865903,0.08489935166849266,0,0,Up
ENSG00000143190,POU2F1,1131,1019,944,8526,10326,8218,4570.4181614817435,-2.977049407540645,0.06603482646826006,0,0,Down
ENSG00000143207,COP1,1618,1497,1462,17430,21005,19518,9162.20161562344,-3.5124099917931164,0.07274906904314392,0,0,Down
ENSG00000143669,LYST,13086,12304,11021,67354,80782,66364,36026.18240388541,-2.4095320169647616,0.04663480382537462,0,0,Down
ENSG00000143919,CAMKMT,184,171,173,10732,14007,11246,5143.749912765645,-5.927714253290881,0.08989921558665531,0,0,Down
ENSG00000143951,WDPCP,114,118,127,7194,9051,7592,3465.1089539608165,-5.88884834619737,0.10119076486118103,0,0,Down
ENSG00000143995,MEIS1,815,864,740,7767,9488,7818,4182.577822316028,-3.2198223142751354,0.07400987132069034,0,0,Down
ENSG00000144218,AFF3,1168,1073,1073,25322,31398,27343,12700.651116805273,-4.512899472579965,0.055771011877736545,0,0,Down
ENSG00000144445,KANSL1L,245,255,221,5568,6341,6123,2812.895383145103,-4.491376793739313,0.10075366671599512,0,0,Down
ENSG00000144535,DIS3L2,585,564,527,4956,6531,5202,2735.709665294928,-3.1588755464649103,0.07480221251808139,0,0,Down
ENSG00000144619,CNTN4,265,245,226,34255,40414,34562,15600.077401040098,-7.058325383532932,0.0727010052382953,0,0,Down
ENSG00000145012,LPP,603,641,543,15029,18857,17474,7931.395115747122,-4.688337445084817,0.09800026955450857,0,0,Down
ENSG00000145087,STXBP5L,196,175,196,6873,8747,6804,3234.130407084338,-5.137607935708899,0.11288096580116626,0,0,Down
ENSG00000145349,CAMK2D,412,368,354,6406,7433,6805,3239.943260457338,-4.034552408888489,0.09005828489611635,0,0,Down
ENSG00000145375,AFG2A,351,349,320,10934,12669,9990,4867.691566886819,-4.883497866945098,0.09059229458145832,0,0,Down
ENSG00000145743,FBXL17,589,565,585,9483,9801,9189,4400.585089428505,-3.885029524182591,0.08087825055118915,0,0,Down
ENSG00000145781,COMMD10,429,400,402,12455,14130,13107,5925.877363781938,-4.860984282624487,0.07131847331759104,0,0,Down
ENSG00000145819,ARHGAP26,564,542,514,9832,12698,9516,4971.337451733811,-4.147082999326546,0.07201584864149135,0,0,Down
ENSG00000145982,FARS2,460,497,513,12595,14687,12341,5941.924985321644,-4.596895982606634,0.07148093477626052,0,0,Down
ENSG00000145996,CDKAL1,635,633,578,16509,20218,18604,8406.697910909146,-4.75397133434846,0.06914894014558003,0,0,Down
ENSG00000146143,PRIM2,1020,852,860,9489,10797,10277,4808.031100337135,-3.336778989944957,0.07932224611249401,0,0,Down
ENSG00000146426,TIAM2,54,50,55,3958,5012,4830,2021.641191967031,-6.257533661207758,0.16247146840322216,0,0,Down
ENSG00000147202,DIAPH2,967,841,836,16868,21126,17101,8224.89395789782,-4.227677733109058,0.05731885045664436,0,0,Down
ENSG00000147403,RPL10,69530,69055,67344,5133,6309,4649,33036.318771618404,3.8257166054550344,0.08965401951059747,0,0,Up
ENSG00000147421,HMBOX1,153,181,120,6011,8057,6780,3112.065051230492,-5.3543751842989895,0.1192950544815077,0,0,Down
ENSG00000147905,ZCCHC7,884,863,846,21110,24792,22010,10241.753725006301,-4.5594493110969445,0.06519997347942108,0,0,Down
ENSG00000148120,AOPEP,125,118,94,7886,10140,8994,4012.146916115914,-6.1615715077712965,0.10988309757199577,0,0,Down
ENSG00000148303,RPL7A,68413,67752,66954,9937,10122,8577,35081.02175891999,2.9683723962612603,0.0688627103576129,0,0,Up
ENSG00000149273,RPS3,100003,95754,94964,14964,17373,14805,51263.48570469331,2.770704150234125,0.05951167694898882,0,0,Up
ENSG00000149806,FAU,14851,15178,14639,926,958,841,7098.034362909086,4.175736662755855,0.07617588823710329,0,0,Up
ENSG00000150471,ADGRL3,958,831,745,33960,40349,40476,17014.286555352093,-5.35226430281355,0.08782356254450976,0,0,Down
ENSG00000150995,ITPR1,1223,1213,1102,12031,15954,12220,6559.313816984823,-3.3494555656472627,0.05854142542812615,0,0,Down
ENSG00000151466,SCLT1,459,409,441,8293,10033,8147,3888.690602542267,-4.182184861613896,0.07498499417601516,0,0,Down
ENSG00000151532,VTI1A,1139,1140,1042,26470,32992,29928,13680.537661796488,-4.598389130753395,0.0655965555914483,0,0,Down
ENSG00000151883,PARP8,2846,2739,2382,33263,40363,35809,17219.13232276142,-3.6316575546560177,0.052372052631912844,0,0,Down
ENSG00000151914,DST,1307,1310,1241,13404,15482,12935,6712.297850887531,-3.2844233535609377,0.08476441448611922,0,0,Down
ENSG00000152061,RABGAP1L,1085,1016,1026,32434,40075,34572,15880.585255590275,-4.945567226337421,0.0511279109475502,0,0,Down
ENSG00000152270,PDE3B,1002,963,929,13252,14281,11624,6198.449460384467,-3.6070300425145194,0.07519326416284551,0,0,Down
ENSG00000152520,PAN3,4515,4244,3922,53394,65589,58292,27420.403812568296,-3.6565279567838704,0.04638266152998406,0,0,Down
ENSG00000152601,MBNL1,7674,6950,6603,73000,87297,73871,37181.75329889367,-3.3147109662251486,0.04535418329352899,0,0,Down
ENSG00000152818,UTRN,1103,1091,982,14589,16860,17144,7791.6547663000965,-3.7883398149248317,0.0803213314332179,0,0,Down
ENSG00000153250,RBMS1,1935,1819,1736,8334,10362,8529,4882.189154529217,-2.1583622017525173,0.05425937365622131,0,0,Down
ENSG00000153317,ASAP1,647,619,601,7029,9921,8404,4039.543931406365,-3.603621733863749,0.08732533045998862,0,0,Down
ENSG00000154229,PRKCA,830,814,795,11596,13824,12400,5829.264117224242,-3.8035715685608844,0.06630927005845226,0,0,Down
ENSG00000154654,NCAM2,450,422,394,31515,37374,37134,15565.660011749238,-6.235435561222403,0.08544242236506361,0,0,Down
ENSG00000156052,GNAQ,2441,2266,2115,24531,30845,28337,13400.535824980789,-3.4677247294562514,0.060540989537856284,0,0,Down
ENSG00000156110,ADK,3393,3281,3069,54208,67830,56709,26718.87068075341,-4.04580946354965,0.040714326650442306,0,0,Down
