gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000113712.19,CSNK1A1,7143.895,5788.225,5877.657,5174.819,5145.647,5041.202,5684.028595434592,0.08957563095039005,0.04103123171331433,0.027923737860639987,0.04789519625005608,NS
ENSG00000079616.14,KIF22,6551.002,5545.001,5712.999,4498.999,4692,4813.002,5157.026973026633,0.14428661173205992,0.06694595414397779,0.028105561876513033,0.048199603329544635,NS
ENSG00000183808.12,RBM12B,1656,1216.001,1179.999,1331,1269.999,1374,1329.1645796903156,-0.17144456146906614,0.08020686962949344,0.028138060472930757,0.04824787036376584,NS
ENSG00000214562.15,NUTM2D,125.597,118.008,116.13,133.564,125.639,145.334,136.80867591376003,-0.31361049732780283,0.15713986678184647,0.028178510021644624,0.04830975372213269,Down
ENSG00000237693.5,IRGM,59,71,62,35,31,32,41.55637179547879,0.49942132187765326,0.30944203343481985,0.028205000638997342,0.048347690190466905,Up
ENSG00000176055.10,MBLAC2,376,296,284,318,343,369,379.7129847325872,-0.2758296561819793,0.13515902810525007,0.02823921759976535,0.04839885701215583,Down
ENSG00000135519.8,KCNH3,127,107,127,147,154,160,133.73478211207873,-0.41433861700196273,0.22641901259617842,0.028368352526824514,0.048605145748650165,Down
ENSG00000168028.15,RPSA,43774.527,39593.371,38866.723,32504.48,33658.986,30072.483,36854.2528736748,0.1441658290201338,0.06700179195470876,0.028364526186611772,0.048605145748650165,NS
ENSG00000166432.16,ZMAT1,538,393,404.999,225,235,354,298.1892728854798,0.3975473972126998,0.21348810683736216,0.02838413295785674,0.04862466554938451,Up
ENSG00000129071.10,MBD4,1359,1093,1136,927.001,909,941,1047.0468350941073,0.16185839961928644,0.0756210709199023,0.028391187917753385,0.04862923408107311,NS
