gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000205531.14,NAP1L4,5049,6036.999,4675.997,4470,3577.999,3747.998,4465.295659251571,0.4267331692589963,0.05714608964626829,4.5249819239428925e-14,3.1518447316866835e-13,Up
ENSG00000133983.16,COX16,1128.809,1271.989,1065.146,756.316,675.482,692.833,898.6931368723202,0.7005104627748632,0.0952699011377177,4.5366849905191584e-14,3.1580114990536e-13,Up
ENSG00000198793.14,MTOR,2800,3349,2637.999,2393.001,1898.999,1778,2456.8058009956794,0.5411513050414265,0.07291523716814727,4.5415501007964964e-14,3.1594135729458113e-13,Up
ENSG00000010310.9,GIPR,30,72.999,23,218,172,183.001,93.39711957543028,-2.0809912723381534,0.2979389811067054,4.649079841075174e-14,3.2321896360599174e-13,Down
ENSG00000102316.17,MAGED2,1300,2112.934,1155.001,2717.999,2305.001,2298.846,1779.311335948634,-0.6812121629884823,0.09261184707979006,4.742567270115947e-14,3.295117898898114e-13,Down
ENSG00000063046.18,EIF4B,18790.239,27998.255,17871.516,31522.455,25627.079,26636.383,23048.61154852769,-0.3761648851832434,0.050305669685494714,4.7900424278059285e-14,3.3260181820141164e-13,Down
ENSG00000074071.15,MRPS34,2515,2577,2432,1517,1313,1338,1879.2039493258042,0.84796080889088,0.11657925134548129,4.8635317826649696e-14,3.3749316979018903e-13,Up
ENSG00000111196.10,MAGOHB,1500.001,1746.982,1272.001,1113.998,943,938.001,1233.1630791864056,0.5888936224837414,0.07970099619552151,4.996705886408106e-14,3.465174883177386e-13,Up
ENSG00000117597.18,UTP25,750,728,699,421,335,330,545.0588825916387,0.9921370169881033,0.13804564780933273,5.113353463507531e-14,3.5438513497555007e-13,Up
ENSG00000154743.19,TSEN2,461.999,444,460.999,230.998,160.999,176.001,338.13096589082204,1.241245165625125,0.1766497694250184,5.3195071815767134e-14,3.684423661639571e-13,Up
ENSG00000291313.1,ENSG00000291313,141.835,114.881,105.059,20.732,28.805,19.084,82.22065220165203,2.2332131525194017,0.3201619064234837,5.3571638549320105e-14,3.7081879975238314e-13,Up
ENSG00000148660.22,CAMK2G,1091,1555.999,1043.002,1916,1585.001,1545,1303.0030915185177,-0.4442460278572619,0.05978338090235672,5.677554238672486e-14,3.927506621283926e-13,Down
ENSG00000106211.10,HSPB1,1353.96,2290.996,1327.999,1068.001,866.73,898.934,1346.4877520784237,0.7671555889019892,0.10522326408282373,5.741678027428014e-14,3.969387142854476e-13,Up
ENSG00000198408.14,OGA,2415.997,2859.001,2210,4496,3359,3371.001,2762.284964612125,-0.5522146977993256,0.0747757217774721,5.782009600556942e-14,3.9947774559458867e-13,Down
ENSG00000033100.17,CHPF2,1201.479,1193.213,1058.876,750.352,544.174,612.57,885.2774594438731,0.855310459462485,0.1180550407856964,5.844498533759465e-14,4.035435062375227e-13,Up
ENSG00000139714.12,MORN3,39,71,50,179,147,163,89.08207568575045,-1.5211895148331211,0.22051570054687322,5.899334778434099e-14,4.070761395679121e-13,Down
ENSG00000277791.5,PSMB3,3108,4488.999,2995,2526,2284,2243,2901.3972719692715,0.5664510634427795,0.07680357722558785,5.94039244713713e-14,4.096541947677267e-13,Up
ENSG00000148690.12,FRA10AC1,553,582,508,1114.034,934.001,930,651.5761881161943,-0.8055013698918347,0.11084227242379519,5.970233702788784e-14,4.1145603168100313e-13,Down
ENSG00000157764.14,BRAF,958.001,1249.98,901.001,1918.991,1392.999,1431.001,1149.9620260114414,-0.5824575483061772,0.07906819842940628,6.028916172567676e-14,4.152420697600683e-13,Down
ENSG00000161011.20,SQSTM1,632,883.001,612.001,1135.001,955,1006,765.4877224144834,-0.5302716189037555,0.07177237754104611,6.044108761676024e-14,4.1602989625399813e-13,Down
ENSG00000172349.19,IL16,181.999,291,153,478,404.999,419,282.126724560369,-1.0236896444353512,0.14329974954258476,6.096961585381409e-14,4.1940737609681426e-13,Down
ENSG00000136875.13,PRPF4,1832.999,2002,1757,1329,1032,1132,1487.5241965968294,0.6845512411696135,0.09356527056038551,6.286955764417516e-14,4.3220870832056393e-13,Up
ENSG00000178127.13,NDUFV2,1718.748,2284.791,1584.723,1447.616,1258.778,1306.963,1593.8463660227185,0.4695930621997337,0.06339626031284146,6.304015455557761e-14,4.331128287569194e-13,Up
ENSG00000167693.17,NXN,13,13,18,107,90,86,38.07639540301521,-2.431917635548757,0.3511577576654158,6.530923718118008e-14,4.4842439060832566e-13,Down
ENSG00000172301.11,COPRS,700,815,690.001,312,306,369,534.5997431849929,1.1079258120675026,0.15669315705433115,7.039005816969904e-14,4.830109130876809e-13,Up
ENSG00000165775.18,FUNDC2,1183.965,1565,1144,955.925,789,853,1048.6158713595298,0.5750027940727125,0.07827755731308697,7.216386035168013e-14,4.948761760008163e-13,Up
ENSG00000106628.13,POLD2,5910.997,6748.001,5753.001,4416.002,3902.002,3900.001,4975.101566668129,0.595219769017302,0.0811339487121,7.25621315163762e-14,4.972996545853315e-13,Up
ENSG00000111247.15,RAD51AP1,1113.001,1646.001,1025.001,2023,1667.001,1751.998,1359.124609422891,-0.5206070920565152,0.07066895552522202,7.31438289839676e-14,5.009764603215877e-13,Down
ENSG00000008256.17,CYTH3,106,210,99,376,348,324,205.21602461546664,-1.2934170027569272,0.1860977318770866,7.435289062446716e-14,5.0894301043875545e-13,Down
ENSG00000105258.9,POLR2I,832.001,1231.999,743,562.999,521,526,743.7197167289991,0.7606877952522935,0.10488881636086822,7.801445601935646e-14,5.336766676583385e-13,Up
ENSG00000179104.9,TMTC2,30,52,19,184.999,120,130,67.41161115391155,-1.9794560797853762,0.28725836197709725,7.951817290328914e-14,5.436276323962062e-13,Down
ENSG00000107185.10,RGP1,1022,1349,958,1816,1370,1476,1195.055842918494,-0.4696738110912545,0.06370663892385635,8.188677287023195e-14,5.59475472840882e-13,Down
ENSG00000110925.7,CSRNP2,1183,1958,1158,2521.001,2081,2144,1658.4172446957575,-0.6470765911609219,0.08871104989592905,8.38376722739971e-14,5.724516846213407e-13,Down
ENSG00000136732.16,GYPC,928,1351,754,1974,1705,1592.001,1183.6401923347141,-0.7830930930039299,0.1083120096752415,8.502502425965221e-14,5.802015510132179e-13,Down
ENSG00000085840.13,ORC1,1392.873,1904,1243,2334,1932,1871,1599.8504106855996,-0.4282432627504971,0.05800768961831738,8.555259281056037e-14,5.834423590933108e-13,Down
ENSG00000120727.13,PAIP2,2093,3653,2085,4831.445,4149,3997,3144.422033123814,-0.7266517937491261,0.10020810570249562,8.826669938346533e-14,6.015815267943191e-13,Down
ENSG00000257727.6,CNPY2,1076.555,1310.39,1068.558,772.873,702.544,693.884,917.2519330307975,0.663383237539547,0.09116106390458652,9.02405421662455e-14,6.146562312761725e-13,Up
ENSG00000086848.15,ALG9,524.001,706.409,496.643,967.999,849.068,791,647.2129791586146,-0.5784609840488204,0.07909710254715518,9.087073745611354e-14,6.185684966146501e-13,Down
ENSG00000128191.17,DGCR8,999.999,1207,837,790.999,607.999,651,858.9566624827627,0.5658132117634236,0.07731577630313055,9.122397973336985e-14,6.205918621271975e-13,Up
ENSG00000110955.9,ATP5F1B,37711.999,50521,35458,34394,30017.999,30519.001,35222.7925125936,0.37695990474270585,0.05100170403396806,9.19281834324144e-14,6.24998852023323e-13,Up
ENSG00000140450.9,ARRDC4,92,105,73,251,198,199,122.62462661498476,-1.186127788323996,0.16989051121239593,9.312135888547303e-14,6.327228075835759e-13,Down
ENSG00000007038.11,PRSS21,2019,2007,1882,1179,1065.001,1051.999,1484.6813442932325,0.8364759839718108,0.11633258897045431,9.365386094374475e-14,6.35951033687855e-13,Up
ENSG00000198380.13,GFPT1,2456,2678,2335,4531,3586,3793.999,2751.565688680952,-0.6301685063927309,0.08651480758672361,9.561352795956138e-14,6.488604512234288e-13,Down
ENSG00000137101.14,CD72,70,98,68.999,242,177.999,205.001,113.38863542336881,-1.313704312966952,0.1903319657846832,9.683966383785373e-14,6.567791644131549e-13,Down
ENSG00000142687.19,KIAA0319L,886.999,1196.999,748,1578.999,1212,1294.001,1023.1596046251203,-0.5175651764088876,0.07060590446580733,9.701308697551915e-14,6.57552923463427e-13,Down
ENSG00000143499.14,SMYD2,678,992,689.999,532.001,475,435,648.3527118035133,0.6881606312293896,0.09484944059168769,9.763156527132275e-14,6.613404684210261e-13,Up
