gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000113504.21,SLC12A7,1165,1728.999,1043,1234.999,1256,1429,1383.7007481819783,-0.14749485336545132,0.07053535113394845,0.012236101863766089,0.09491631645370117,NS
ENSG00000131475.7,VPS25,888.001,894,846,622,660,594.999,749.2132595552783,0.1678555504961768,0.09458936126387799,0.012191520557070352,0.09491631645370117,NS
ENSG00000136146.15,MED4,1256,1122,1231,834,827.001,829,1017.5861007546212,0.16698480290434556,0.1037632981952565,0.012236287776056053,0.09491631645370117,NS
ENSG00000136161.13,RCBTB2,423.325,365,407,265,273.303,241.999,318.5349931776666,0.16055810356835623,0.1119183752184151,0.012200662790216147,0.09491631645370117,NS
ENSG00000156858.12,PRR14,439.999,404.001,368.001,257.999,279,292,434.1289860827183,0.16715873267214112,0.10352885292777479,0.012199725684705348,0.09491631645370117,NS
ENSG00000179950.15,PUF60,3583,4077.002,3322.002,2833,2861,2759.999,2909.9836393269566,0.14557531324408363,0.06911598781203414,0.012218709291676408,0.09491631645370117,NS
ENSG00000049883.15,PTCD2,609.001,474.001,533,323,334.001,388.001,449.08981875166904,0.1580989811971298,0.1136984480546848,0.012276627116685,0.09506776535813095,NS
ENSG00000163349.22,HIPK1,1549,3015,1453.999,2097,2066.907,2335,2174.902837031686,-0.16804529604752355,0.09932656117559767,0.012269830995438236,0.09506776535813095,NS
ENSG00000002834.19,LASP1,4637.001,8231,4331,5835.999,5933,5877.001,6558.592835988721,-0.1628313883467668,0.08539373694855028,0.012442222794226174,0.09528295529416043,NS
ENSG00000011523.15,CEP68,367,635,346.999,460.999,456,539,479.8169739020751,-0.16791526299395199,0.09662141219615833,0.012325081008986919,0.09528295529416043,NS
ENSG00000027001.10,MIPEP,450,459,417,294,330,304,368.6319348679756,0.1677290719042098,0.09860904778908838,0.012446780926366315,0.09528295529416043,NS
ENSG00000065427.15,KARS1,3933,4909,3850,3357,3359,3306,3573.6596224144687,0.12606076915794964,0.057018118220965565,0.012409168280837799,0.09528295529416043,NS
ENSG00000111875.8,ASF1A,1603,3608,1657,2607,2639,2422,2542.3167204008714,-0.1649449526993299,0.10688440616819238,0.012374765530590791,0.09528295529416043,NS
ENSG00000115750.17,TAF1B,142,280.999,110.001,225,217,205.001,205.6667533392569,-0.1525904376842454,0.11700082376408773,0.012423197431456243,0.09528295529416043,NS
ENSG00000120705.13,ETF1,5044.998,5595.999,4707.001,3912.999,3972.998,3974.997,3746.485072705529,0.1446784443637042,0.06866664480546733,0.012368018619885688,0.09528295529416043,NS
ENSG00000120949.15,TNFRSF8,858,551,718,433,437,435,468.4050674667398,0.14721518398347888,0.11987482271656251,0.012345525088931164,0.09528295529416043,NS
ENSG00000122873.12,CISD1,761,959,777,634,641.999,533,681.5302863098601,0.16455081889875672,0.08790667888780329,0.01242549286945891,0.09528295529416043,NS
ENSG00000126524.12,SBDS,827.682,696.306,781.028,473.398,549.82,507.31,611.858184323655,0.1621173852130255,0.11015805243103545,0.01238872707446289,0.09528295529416043,NS
ENSG00000144560.16,VGLL4,1098,2132,1062.001,1516.001,1545,1512,1700.886484961115,-0.1677047442189812,0.09624128989133988,0.0124079788700872,0.09528295529416043,NS
ENSG00000167130.18,DOLPP1,713,804,670,571,525,493,642.5492067581798,0.16465707913101726,0.08814488719932848,0.012444124745554326,0.09528295529416043,NS
ENSG00000169220.18,RGS14,311,261.999,308,185.999,178,200,254.390897364452,0.15657154341131413,0.11464656240991972,0.012353745522234229,0.09528295529416043,NS
ENSG00000189339.12,SLC35E2B,2317.635,4191.172,2236.837,2832.244,2909.668,3380.824,3411.532428098184,-0.16562359594417553,0.08948037545715597,0.012334334891968857,0.09528295529416043,NS
ENSG00000077721.17,UBE2A,3073.002,3423,2895,2403.001,2431,2226,2745.7578993729953,0.15662053908529266,0.07847530987314236,0.012458628129600363,0.09529579230559625,NS
ENSG00000164687.11,FABP5,3121.016,3774.231,2983.038,2590.863,2574.626,2418.534,2301.2575032185714,0.14501840545349326,0.06904861872164988,0.012479658674538959,0.09537879427441276,NS
ENSG00000265241.8,RBM8A,5680.797,5994.91,5408.16,4341.552,4323.085,4172.388,4555.308494439034,0.15826420774309366,0.08026972773811362,0.012544148467239787,0.09579353800980994,NS
ENSG00000122068.13,FYTTD1,1373,1551,1380,1051,1098,1070.001,1419.774074354803,0.15862651416798673,0.08088627152293977,0.012663409701694507,0.09658399043947555,NS
ENSG00000143294.15,PRCC,1647.998,2274.999,1678,1499,1436,1381,1584.577445760369,0.1391112688621993,0.06522057865951816,0.012668273665967497,0.09658399043947555,NS
ENSG00000054654.20,SYNE2,920,1482,718.999,982.002,1131.999,1494,1242.985197132099,-0.1619453239142113,0.10968680697945618,0.01270545561199135,0.09666660934235352,NS
ENSG00000135821.19,GLUL,3222,5538.999,3158,3955,4058,3988,4332.560111621493,-0.1556954465603195,0.07801252480105386,0.012692950732015628,0.09666660934235352,NS
ENSG00000139131.13,YARS2,657,685,704,461,485,450,499.75318709868543,0.16557221460010949,0.10472470066541899,0.012710060054405501,0.09666660934235352,NS
ENSG00000198498.10,TMA16,1138.001,1174,1170,829,855,812.001,901.7046517676542,0.16679036671195951,0.09461586589584207,0.01272327153314595,0.09668860848789745,NS
ENSG00000243989.9,ACY1,640.238,785.383,544.822,469.386,515.437,471.471,554.0687699498792,0.15844472148070404,0.08086328322027438,0.012748573240534494,0.09680237541637618,NS
ENSG00000054116.12,TRAPPC3,1514,1706.999,1504,1215,1162,1154.001,1348.5595798764364,0.15849777768257653,0.08108419949661803,0.012830535401917559,0.09681852943815665,NS
ENSG00000066084.13,DIP2B,2193,2000,2016,1403,1450,1549,1822.9671792940355,0.16697614056060459,0.09819895315964441,0.01282810470323543,0.09681852943815665,NS
ENSG00000071575.12,TRIB2,450.999,1030.999,458,760,734,735,751.1332344993707,-0.1599149076604936,0.11123447166105105,0.012912672069564776,0.09681852943815665,NS
