gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000068523.13,Gng5,4451.001,6186,6484,5093.999,5317,4251,6094.29546649559,0.5156596247991507,0.21882480727515785,6.904769622927356e-4,0.015284289549933305,Up
ENSMUSG00000014226.11,Cacybp,5009,4753,3971,4836,5043,5122,5061.178464099092,0.3156500110898818,0.10540477351655587,6.921077979520678e-4,0.01529535615572176,Up
ENSMUSG00000021809.11,Nudt13,717.001,652,525.999,710.999,614,598.001,642.054488932318,0.3843967334171438,0.1387987792473507,6.936464450296979e-4,0.015304352641152796,Up
ENSMUSG00000028756.13,Pink1,5986,12285,8231,7250,6071,5907,8460.46630204531,0.5953459651554688,0.28386821946392116,7.05318188184152e-4,0.015531625391471309,Up
ENSMUSG00000039670.3,Oxld1,134,192,143,154,137,91,151.85005897469438,0.5432654866793961,0.23963685785221578,7.062439641962924e-4,0.015531625391471309,Up
ENSMUSG00000004791.8,Pgf,65,84,86,70,46,56,73.41504530091507,0.5931073853628165,0.2823362584631722,7.12427004308861e-4,0.015642167586489196,Up
ENSMUSG00000040289.9,Hey1,246,169,252,188,150,133,203.49869453255775,0.6050320135020184,0.29547266073109846,7.19413126988431e-4,0.015769955498409285,Up
ENSMUSG00000060459.15,Kng2,252,46,71,71,50.94,28,82.94103774004896,0.6103177705544236,0.42302417539896653,7.219624921408255e-4,0.01580023091618878,Up
ENSMUSG00000021748.10,Pdhb,11205.972,7904.986,5818.998,6695.981,7076.859,6920.986,7452.230851086767,0.5188460734717116,0.22274395920387485,7.232916037372172e-4,0.01580374626905632,Up
ENSMUSG00000008496.20,Pou2f2,401,292,326,742,673,752,497.6266765668644,-0.43361630004517415,0.16777633243598777,7.338849517707501e-4,0.015881270356319033,Down
